,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Asscher,$480,0.28,Very Good,D,VVS2,Feb 21
1,Asscher,$548,0.30,Very Good,E,VVS1,Feb 17
2,Asscher,$648,0.30,Very Good,F,VS1,Feb 21
3,Asscher,$726,0.51,Very Good,H,SI1,Feb 21
4,Asscher,$743,0.51,Very Good,I,VS1,Feb 16
5,Asscher,$750,0.40,Very Good,D,VS1,Feb 20
6,Asscher,$752,0.40,Very Good,E,VVS2,Feb 22
7,Asscher,$768,0.50,Very Good,E,SI1,Feb 21
8,Asscher,$777,0.50,Very Good,J,SI1,Feb 10
9,Asscher,$784,0.52,Very Good,I,IF,Feb 22
10,Asscher,$807,0.53,Very Good,H,VVS2,Feb 22
11,Asscher,$807,0.51,Very Good,J,VS1,Feb 10
12,Asscher,$812,0.50,Very Good,I,SI1,Feb 10
13,Asscher,$827,0.50,Very Good,H,VS1,Feb 17
14,Asscher,$836,0.41,Very Good,H,VVS1,Feb 20
15,Asscher,$843,0.45,Very Good,G,VVS2,Feb 20
16,Asscher,$849,0.50,Very Good,F,SI1,Feb 21
17,Asscher,$850,0.40,Very Good,E,VVS2,Feb 22
18,Asscher,$862,0.53,Very Good,F,VS2,Feb 21
19,Asscher,$870,0.54,Very Good,J,VVS1,Feb 21
20,Asscher,$872,0.51,Very Good,J,VVS1,Feb 20
21,Asscher,$872,0.50,Very Good,J,VVS1,Feb 10
22,Asscher,$882,0.50,Very Good,G,VVS2,Feb 21
23,Asscher,$882,0.54,Very Good,I,VS1,Feb 21
24,Asscher,$882,0.51,Very Good,F,VS1,Feb 22
25,Asscher,$888,0.50,Very Good,I,VS2,Feb 20
26,Asscher,$890,0.51,Very Good,J,VVS1,Feb 10
27,Asscher,$892,0.50,Very Good,G,VS1,Feb 21
28,Asscher,$893,0.50,Very Good,G,VS2,Feb 21
29,Asscher,$895,0.50,Very Good,H,VS2,Feb 21
30,Asscher,$898,0.50,Very Good,J,VVS2,Feb 10
31,Asscher,$898,0.50,Very Good,J,VVS2,Feb 10
32,Asscher,$900,0.52,Very Good,E,VS2,Feb 22
33,Asscher,$900,0.52,Very Good,J,VS1,Feb 14
34,Asscher,$903,0.53,Very Good,G,VVS1,Feb 7
35,Asscher,$912,0.55,Very Good,J,VVS2,Feb 10
36,Asscher,$912,0.51,Very Good,H,SI1,Feb 21
37,Asscher,$914,0.50,Very Good,H,VVS1,Feb 21
38,Asscher,$915,0.50,Very Good,E,VS1,Feb 22
39,Asscher,$916,0.50,Very Good,I,VVS1,Feb 21
40,Asscher,$919,0.50,Very Good,J,VS1,Feb 10
41,Asscher,$922,0.50,Very Good,H,VVS2,Feb 13
42,Asscher,$937,0.51,Very Good,J,VS1,Feb 10
43,Asscher,$937,0.51,Very Good,J,VS1,Feb 10
44,Asscher,$940,0.50,Very Good,D,VS2,Feb 16
45,Asscher,$942,0.50,Very Good,D,SI1,Feb 21
46,Asscher,$943,0.50,Very Good,J,VVS1,Feb 10
47,Asscher,$945,0.50,Very Good,E,VS2,Feb 21
48,Asscher,$949,0.50,Very Good,F,VS2,Feb 21
49,Asscher,$952,0.50,Very Good,E,SI1,Feb 21
50,Asscher,$955,0.50,Very Good,G,VS1,Feb 21
51,Asscher,$962,0.51,Very Good,J,VVS1,Feb 10
52,Asscher,$964,0.40,Very Good,D,VVS1,Feb 16
53,Asscher,$965,0.55,Very Good,H,SI1,Feb 20
54,Asscher,$966,0.50,Very Good,I,VVS2,Feb 20
55,Asscher,$976,0.52,Very Good,I,VVS1,Feb 21
56,Asscher,$976,0.40,Very Good,D,VVS1,Feb 22
57,Asscher,$976,0.53,Very Good,D,SI1,Feb 16
58,Asscher,$978,0.50,Very Good,E,VS1,Feb 21
59,Asscher,$978,0.51,Very Good,F,VS1,Feb 16
60,Asscher,$983,0.52,Very Good,H,VVS1,Feb 10
61,Asscher,$988,0.50,Very Good,F,VS1,Feb 17
62,Asscher,$989,0.51,Very Good,F,VS1,Feb 21
63,Asscher,$990,0.50,Very Good,H,VVS1,Feb 21
64,Asscher,$993,0.50,Very Good,I,VVS2,Feb 10
65,Asscher,$993,0.50,Very Good,I,VVS2,Feb 10
66,Asscher,$993,0.50,Very Good,E,VVS2,Feb 10
67,Asscher,$993,0.50,Very Good,G,VVS1,Feb 22
68,Asscher,$998,0.56,Very Good,H,IF,Feb 21
69,Asscher,"$1,003",0.57,Very Good,G,VS2,Feb 21
70,Asscher,"$1,004",0.50,Very Good,H,VVS2,Feb 21
71,Asscher,"$1,005",0.53,Very Good,J,VVS1,Feb 14
72,Asscher,"$1,006",0.54,Very Good,I,SI1,Feb 21
73,Asscher,"$1,006",0.50,Very Good,F,VS1,Feb 21
74,Asscher,"$1,006",0.51,Very Good,H,VVS1,Feb 21
75,Asscher,"$1,009",0.50,Very Good,J,FL,Feb 14
76,Asscher,"$1,016",0.54,Very Good,J,VVS1,Feb 10
77,Asscher,"$1,017",0.50,Very Good,H,VVS1,Feb 21
78,Asscher,"$1,024",0.53,Very Good,G,VS2,Feb 21
79,Asscher,"$1,024",0.50,Very Good,I,VS2,Feb 14
80,Asscher,"$1,028",0.53,Very Good,G,VS1,Feb 21
81,Asscher,"$1,030",0.50,Very Good,E,SI1,Feb 10
82,Asscher,"$1,030",0.55,Very Good,I,VS1,Feb 21
83,Asscher,"$1,031",0.50,Very Good,I,VVS1,Feb 10
84,Asscher,"$1,037",0.50,Very Good,H,VVS2,Feb 10
85,Asscher,"$1,040",0.60,Very Good,I,SI1,Feb 10
86,Asscher,"$1,041",0.50,Very Good,H,VVS1,Feb 20
87,Asscher,"$1,052",0.51,Very Good,I,VVS1,Feb 10
88,Asscher,"$1,053",0.54,Very Good,G,VS1,Feb 21
89,Asscher,"$1,053",0.50,Very Good,H,VVS1,Feb 21
90,Asscher,"$1,061",0.51,Very Good,F,VS1,Feb 21
91,Asscher,"$1,061",0.51,Very Good,I,IF,Feb 21
92,Asscher,"$1,063",0.50,Very Good,I,VVS2,Feb 14
93,Asscher,"$1,064",0.51,Very Good,F,SI1,Feb 21
94,Asscher,"$1,065",0.60,Very Good,I,VS2,Feb 21
95,Asscher,"$1,070",0.52,Very Good,J,IF,Feb 10
96,Asscher,"$1,073",0.50,Very Good,I,IF,Feb 10
97,Asscher,"$1,073",0.50,Very Good,G,VS2,Feb 10
98,Asscher,"$1,074",0.50,Very Good,E,VS1,Feb 16
99,Asscher,"$1,082",0.50,Very Good,I,VVS1,Feb 21
100,Asscher,"$1,082",0.51,Very Good,F,VS2,Feb 21
101,Asscher,"$1,093",0.53,Very Good,I,VVS1,Feb 10
102,Asscher,"$1,093",0.53,Very Good,H,VS1,Feb 10
103,Asscher,"$1,093",0.60,Very Good,I,VVS1,Feb 21
104,Asscher,"$1,094",0.51,Very Good,F,VS2,Feb 20
