,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Emerald,$271,0.29,Very Good,D,SI2,Feb 16
1,Emerald,$280,0.24,Very Good,H,VS2,Feb 13
2,Emerald,$290,0.24,Very Good,E,SI1,Feb 13
3,Emerald,$300,0.31,Very Good,H,SI2,Feb 13
4,Emerald,$320,0.31,Very Good,F,SI2,Feb 13
5,Emerald,$320,0.30,Very Good,I,SI1,Feb 13
6,Emerald,$323,0.30,Very Good,F,SI1,Feb 17
7,Emerald,$329,0.30,Very Good,E,SI2,Feb 21
8,Emerald,$335,0.31,Very Good,I,SI1,Feb 16
9,Emerald,$338,0.31,Very Good,G,SI2,Feb 16
10,Emerald,$338,0.31,Very Good,I,VS2,Feb 16
11,Emerald,$340,0.31,Very Good,E,SI2,Feb 13
12,Emerald,$341,0.29,Very Good,J,VS2,Feb 20
13,Emerald,$353,0.30,Very Good,J,VVS1,Feb 16
14,Emerald,$357,0.28,Very Good,D,VVS2,Feb 16
15,Emerald,$360,0.38,Very Good,E,SI1,Feb 13
16,Emerald,$366,0.37,Very Good,G,SI2,Feb 16
17,Emerald,$367,0.31,Very Good,J,VVS1,Feb 17
18,Emerald,$369,0.30,Very Good,I,VS1,Feb 16
19,Emerald,$370,0.30,Very Good,D,SI2,Feb 13
20,Emerald,$374,0.32,Very Good,F,SI2,Feb 16
21,Emerald,$377,0.32,Very Good,J,IF,Feb 16
22,Emerald,$377,0.30,Very Good,I,VVS2,Feb 16
23,Emerald,$377,0.31,Very Good,E,SI1,Feb 17
24,Emerald,$377,0.30,Very Good,G,SI2,Feb 14
25,Emerald,$378,0.32,Very Good,I,VVS1,Feb 16
26,Emerald,$378,0.30,Very Good,I,VS1,Feb 16
27,Emerald,$381,0.32,Very Good,J,IF,Feb 16
28,Emerald,$381,0.31,Very Good,J,VS1,Feb 20
29,Emerald,$382,0.30,Very Good,I,VVS2,Feb 16
30,Emerald,$383,0.31,Very Good,I,VS1,Feb 16
31,Emerald,$387,0.34,Very Good,E,SI2,Feb 16
32,Emerald,$389,0.31,Very Good,E,SI2,Feb 16
33,Emerald,$389,0.31,Very Good,E,SI2,Feb 16
34,Emerald,$389,0.31,Very Good,I,VS1,Feb 16
35,Emerald,$390,0.30,Very Good,E,SI1,Feb 17
36,Emerald,$391,0.32,Very Good,E,SI2,Feb 16
37,Emerald,$391,0.27,Very Good,D,VVS1,Feb 16
38,Emerald,$393,0.30,Very Good,H,SI1,Feb 16
39,Emerald,$395,0.30,Very Good,I,VVS2,Feb 16
40,Emerald,$396,0.33,Very Good,H,SI1,Feb 16
41,Emerald,$397,0.37,Very Good,J,VVS2,Feb 16
42,Emerald,$398,0.32,Very Good,D,SI1,Feb 17
43,Emerald,$399,0.28,Very Good,E,VS2,Feb 21
44,Emerald,$400,0.27,Very Good,F,VVS1,Feb 22
45,Emerald,$400,0.30,Very Good,G,VVS2,Feb 13
46,Emerald,$401,0.30,Very Good,E,SI1,Feb 17
47,Emerald,$402,0.30,Very Good,I,VVS2,Feb 16
48,Emerald,$404,0.34,Very Good,J,VVS1,Feb 16
