,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Heart,$508,0.30,Very Good,I,IF,Feb 21
1,Heart,$553,0.30,Very Good,E,VS2,Feb 14
2,Heart,$571,0.33,Very Good,H,VS1,Feb 14
3,Heart,$572,0.41,Very Good,J,SI1,Feb 22
4,Heart,$573,0.31,Very Good,E,SI1,Feb 17
5,Heart,$583,0.30,Very Good,H,VVS1,Feb 14
6,Heart,$586,0.40,Very Good,G,SI1,Feb 22
7,Heart,$587,0.40,Very Good,I,VVS1,Feb 17
8,Heart,$587,0.31,Very Good,E,SI1,Feb 17
9,Heart,$595,0.34,Very Good,G,VS2,Feb 14
10,Heart,$597,0.53,Very Good,I,SI2,Feb 16
11,Heart,$604,0.33,Very Good,H,VVS2,Feb 14
12,Heart,$604,0.33,Very Good,H,VVS2,Feb 14
13,Heart,$605,0.30,Very Good,D,VS2,Feb 14
14,Heart,$606,0.40,Very Good,I,SI1,Feb 17
15,Heart,$607,0.50,Very Good,H,SI2,Feb 17
16,Heart,$609,0.30,Very Good,E,VS1,Feb 14
17,Heart,$611,0.51,Very Good,H,SI2,Feb 16
18,Heart,$615,0.31,Very Good,D,VS2,Feb 14
19,Heart,$618,0.50,Very Good,J,SI1,Feb 17
20,Heart,$618,0.50,Very Good,J,SI1,Feb 17
21,Heart,$620,0.52,Very Good,G,SI2,Feb 16
22,Heart,$621,0.30,Very Good,G,VVS2,Feb 14
23,Heart,$622,0.50,Very Good,G,SI2,Feb 21
24,Heart,$626,0.30,Very Good,E,VS1,Feb 14
25,Heart,$626,0.30,Very Good,E,VS1,Feb 14
26,Heart,$626,0.30,Very Good,E,VS1,Feb 14
27,Heart,$626,0.30,Very Good,E,VS1,Feb 14
28,Heart,$627,0.50,Very Good,F,SI2,Feb 16
29,Heart,$628,0.40,Very Good,F,SI1,Feb 22
30,Heart,$629,0.34,Very Good,E,VS2,Feb 14
31,Heart,$630,0.51,Very Good,J,SI1,Feb 17
32,Heart,$630,0.51,Very Good,J,SI1,Feb 17
33,Heart,$632,0.50,Very Good,I,SI1,Feb 16
34,Heart,$632,0.41,Very Good,I,VS1,Feb 21
35,Heart,$632,0.31,Very Good,H,IF,Feb 13
36,Heart,$637,0.41,Very Good,J,VS2,Feb 17
37,Heart,$637,0.34,Very Good,E,VS2,Feb 14
38,Heart,$637,0.50,Very Good,F,SI2,Feb 16
39,Heart,$642,0.51,Very Good,J,VVS1,Feb 16
40,Heart,$647,0.43,Very Good,G,SI1,Feb 22
41,Heart,$649,0.50,Very Good,J,SI1,Feb 16
42,Heart,$655,0.53,Very Good,J,SI1,Feb 17
43,Heart,$658,0.52,Very Good,I,SI1,Feb 17
44,Heart,$661,0.34,Very Good,D,VS2,Feb 14
45,Heart,$662,0.35,Very Good,D,SI1,Feb 14
46,Heart,$662,0.31,Very Good,F,VVS2,Feb 14
47,Heart,$663,0.33,Very Good,I,VVS1,Feb 13
48,Heart,$664,0.52,Very Good,G,SI2,Feb 16
49,Heart,$665,0.51,Very Good,F,SI2,Feb 16
50,Heart,$666,0.50,Very Good,F,SI2,Feb 16
51,Heart,$668,0.50,Very Good,G,SI2,Feb 16
52,Heart,$671,0.51,Very Good,I,SI1,Feb 16
53,Heart,$671,0.51,Very Good,G,SI2,Feb 16
54,Heart,$671,0.36,Very Good,D,SI1,Feb 14
55,Heart,$672,0.36,Very Good,H,VVS1,Feb 13
56,Heart,$673,0.35,Very Good,E,VVS1,Feb 20
57,Heart,$675,0.50,Very Good,I,SI1,Feb 16
58,Heart,$675,0.39,Very Good,E,SI1,Feb 14
59,Heart,$678,0.50,Very Good,G,SI2,Feb 17
60,Heart,$678,0.50,Very Good,H,SI2,Feb 17
61,Heart,$679,0.55,Very Good,J,SI1,Feb 17
62,Heart,$679,0.52,Very Good,I,SI1,Feb 17
63,Heart,$681,0.35,Very Good,G,VS1,Feb 14
64,Heart,$682,0.50,Very Good,G,SI1,Feb 16
65,Heart,$682,0.50,Very Good,I,SI1,Feb 16
66,Heart,$682,0.50,Very Good,I,SI1,Feb 16
67,Heart,$683,0.30,Very Good,E,VVS1,Feb 14
68,Heart,$684,0.50,Very Good,J,SI1,Feb 20
69,Heart,$684,0.35,Very Good,H,IF,Feb 22
70,Heart,$685,0.50,Very Good,I,SI1,Feb 16
71,Heart,$686,0.32,Very Good,E,VVS2,Feb 14
72,Heart,$687,0.50,Very Good,H,SI1,Feb 16
73,Heart,$690,0.37,Very Good,D,VS2,Feb 20
74,Heart,$691,0.50,Very Good,I,SI1,Feb 16
75,Heart,$695,0.50,Very Good,H,SI1,Feb 16
76,Heart,$697,0.51,Very Good,J,VS2,Feb 17
77,Heart,$697,0.33,Very Good,G,VS2,Feb 17
78,Heart,$698,0.37,Very Good,H,VVS1,Feb 14
79,Heart,$698,0.40,Very Good,D,SI2,Feb 17
80,Heart,$702,0.40,Very Good,D,SI2,Feb 14
81,Heart,$702,0.31,Very Good,D,VS1,Feb 14
82,Heart,$703,0.43,Very Good,H,VS1,Feb 20
83,Heart,$705,0.40,Very Good,E,VS2,Feb 20
84,Heart,$707,0.50,Very Good,F,SI2,Feb 16
85,Heart,$707,0.37,Very Good,G,VS1,Feb 14
86,Heart,$708,0.51,Very Good,G,SI2,Feb 16
87,Heart,$708,0.50,Very Good,H,SI2,Feb 17
88,Heart,$709,0.51,Very Good,F,SI1,Feb 17
89,Heart,$710,0.50,Very Good,I,SI1,Feb 16
90,Heart,$710,0.50,Very Good,I,SI1,Feb 16
91,Heart,$712,0.50,Very Good,H,SI1,Feb 16
92,Heart,$712,0.30,Very Good,E,VVS1,Feb 14
93,Heart,$713,0.50,Very Good,J,VS1,Feb 16
94,Heart,$713,0.46,Very Good,I,SI1,Feb 14
95,Heart,$714,0.40,Very Good,H,VS1,Feb 22
96,Heart,$714,0.40,Very Good,I,VVS2,Feb 22
97,Heart,$714,0.31,Very Good,F,IF,Feb 13
98,Heart,$716,0.30,Very Good,D,VVS1,Feb 13
99,Heart,$721,0.35,Very Good,F,VVS2,Feb 14
100,Heart,$723,0.50,Very Good,H,SI2,Feb 16
101,Heart,$723,0.50,Very Good,F,SI2,Feb 16
102,Heart,$725,0.32,Very Good,D,VVS2,Feb 14
103,Heart,$725,0.32,Very Good,F,VS1,Feb 17
104,Heart,$727,0.51,Very Good,E,SI2,Feb 20
105,Heart,$728,0.50,Very Good,G,SI2,Feb 16
106,Heart,$728,0.50,Very Good,I,SI2,Feb 13
107,Heart,$730,0.50,Very Good,I,SI1,Feb 16
108,Heart,$731,0.35,Very Good,E,VS1,Feb 14
109,Heart,$732,0.50,Very Good,J,SI2,Feb 17
110,Heart,$735,0.51,Very Good,G,SI1,Feb 16
111,Heart,$735,0.31,Very Good,G,IF,Feb 13
112,Heart,$735,0.31,Very Good,G,IF,Feb 13
113,Heart,$736,0.33,Very Good,E,VVS1,Feb 14
114,Heart,$737,0.40,Very Good,G,VS1,Feb 22
115,Heart,$740,0.40,Very Good,I,VS1,Feb 14
116,Heart,$740,0.35,Very Good,E,VS1,Feb 14
117,Heart,$742,0.33,Very Good,D,IF,Feb 22
118,Heart,$743,0.51,Very Good,I,VS2,Feb 17
119,Heart,$743,0.37,Very Good,F,VS1,Feb 14
120,Heart,$745,0.51,Very Good,F,SI1,Feb 16
121,Heart,$746,0.50,Very Good,I,SI1,Feb 16
122,Heart,$747,0.50,Very Good,H,SI1,Feb 14
123,Heart,$748,0.50,Very Good,H,SI1,Feb 16
124,Heart,$749,0.31,Very Good,F,IF,Feb 13
125,Heart,$750,0.46,Very Good,H,SI1,Feb 17
126,Heart,$751,0.32,Very Good,E,VVS1,Feb 17
127,Heart,$754,0.50,Very Good,I,SI1,Feb 17
128,Heart,$754,0.49,Very Good,I,VS1,Feb 17
129,Heart,$754,0.42,Very Good,D,SI2,Feb 14
130,Heart,$755,0.33,Very Good,D,IF,Feb 22
131,Heart,$756,0.50,Very Good,F,SI1,Feb 16
132,Heart,$757,0.50,Very Good,G,SI1,Feb 16
133,Heart,$757,0.50,Very Good,I,SI1,Feb 16
134,Heart,$757,0.41,Very Good,F,SI1,Feb 14
135,Heart,$757,0.30,Very Good,D,VVS1,Feb 13
136,Heart,$758,0.50,Very Good,I,VS2,Feb 21
137,Heart,$760,0.50,Very Good,E,SI2,Feb 16
138,Heart,$760,0.42,Very Good,E,VS2,Feb 22
139,Heart,$760,0.40,Very Good,F,SI1,Feb 14
140,Heart,$763,0.38,Very Good,D,VVS2,Feb 21
141,Heart,$763,0.61,Very Good,H,SI2,Feb 17
142,Heart,$765,0.51,Very Good,J,VVS2,Feb 16
143,Heart,$765,0.41,Very Good,H,VVS1,Feb 22
144,Heart,$765,0.50,Very Good,I,SI1,Feb 17
145,Heart,$766,0.40,Very Good,D,SI1,Feb 17
146,Heart,$767,0.50,Very Good,E,SI1,Feb 16
147,Heart,$768,0.50,Very Good,G,SI1,Feb 16
148,Heart,$769,0.52,Very Good,I,SI1,Feb 16
149,Heart,$769,0.50,Very Good,H,SI1,Feb 16
150,Heart,$769,0.50,Very Good,I,VS2,Feb 17
151,Heart,$770,0.39,Very Good,D,VS2,Feb 14
152,Heart,$772,0.51,Very Good,H,SI1,Feb 16
153,Heart,$772,0.53,Very Good,H,SI1,Feb 14
154,Heart,$773,0.51,Very Good,J,SI2,Feb 14
155,Heart,$773,0.32,Very Good,D,VVS1,Feb 14
156,Heart,$774,0.50,Very Good,J,VS2,Feb 17
157,Heart,$775,0.51,Very Good,I,VS1,Feb 17
158,Heart,$775,0.50,Very Good,D,SI2,Feb 16
159,Heart,$776,0.50,Very Good,J,VVS1,Feb 16
160,Heart,$777,0.50,Very Good,H,SI2,Feb 17
161,Heart,$779,0.50,Very Good,F,SI2,Feb 17
162,Heart,$781,0.50,Very Good,D,SI1,Feb 14
163,Heart,$781,0.34,Very Good,D,VVS1,Feb 13
164,Heart,$782,0.52,Very Good,I,SI1,Feb 16
165,Heart,$783,0.37,Very Good,E,VVS2,Feb 17
166,Heart,$783,0.43,Very Good,I,VVS1,Feb 17
167,Heart,$786,0.51,Very Good,E,SI1,Feb 16
168,Heart,$786,0.50,Very Good,G,SI1,Feb 16
169,Heart,$789,0.30,Very Good,E,VS1,Feb 13
170,Heart,$790,0.50,Very Good,F,SI1,Feb 16
171,Heart,$790,0.50,Very Good,I,VS2,Feb 16
172,Heart,$790,0.50,Very Good,F,SI1,Feb 16
173,Heart,$790,0.50,Very Good,F,SI1,Feb 16
174,Heart,$790,0.50,Very Good,F,SI1,Feb 14
175,Heart,$791,0.56,Very Good,I,VS2,Feb 20
176,Heart,$794,0.50,Very Good,F,SI1,Feb 16
177,Heart,$794,0.50,Very Good,J,SI1,Feb 13
178,Heart,$795,0.52,Very Good,I,SI1,Feb 17
179,Heart,$797,0.50,Very Good,G,SI1,Feb 16
180,Heart,$797,0.52,Very Good,H,SI1,Feb 22
181,Heart,$798,0.50,Very Good,F,SI1,Feb 16
182,Heart,$800,0.36,Very Good,E,IF,Feb 21
183,Heart,$800,0.50,Very Good,J,SI1,Feb 17
184,Heart,$801,0.43,Very Good,H,VS1,Feb 21
185,Heart,$802,0.50,Very Good,E,SI1,Feb 14
186,Heart,$802,0.50,Very Good,I,VS1,Feb 20
187,Heart,$804,0.50,Very Good,H,SI1,Feb 16
188,Heart,$805,0.32,Very Good,D,VVS1,Feb 14
189,Heart,$806,0.44,Very Good,D,VS2,Feb 22
190,Heart,$807,0.50,Very Good,E,SI1,Feb 16
191,Heart,$807,0.51,Very Good,J,VS2,Feb 17
192,Heart,$808,0.52,Very Good,I,SI1,Feb 16
193,Heart,$809,0.38,Very Good,E,IF,Feb 17
194,Heart,$813,0.51,Very Good,F,SI1,Feb 16
195,Heart,$813,0.45,Very Good,H,VVS2,Feb 22
196,Heart,$814,0.50,Very Good,H,SI1,Feb 16
197,Heart,$814,0.33,Very Good,D,IF,Feb 20
198,Heart,$815,0.50,Very Good,G,SI1,Feb 16
199,Heart,$815,0.35,Very Good,D,IF,Feb 22
200,Heart,$815,0.53,Very Good,J,VVS2,Feb 21
201,Heart,$817,0.54,Very Good,F,SI2,Feb 16
202,Heart,$817,0.50,Very Good,J,VS2,Feb 16
203,Heart,$818,0.50,Very Good,H,SI1,Feb 16
204,Heart,$819,0.50,Very Good,I,SI2,Feb 13
205,Heart,$820,0.46,Very Good,D,SI2,Feb 14
206,Heart,$821,0.50,Very Good,F,SI1,Feb 14
207,Heart,$825,0.50,Very Good,H,VS2,Feb 16
208,Heart,$827,0.50,Very Good,I,VS1,Feb 20
209,Heart,$828,0.41,Very Good,E,SI1,Feb 14
210,Heart,$828,0.40,Very Good,G,VVS2,Feb 22
211,Heart,$830,0.50,Very Good,J,VVS1,Feb 16
212,Heart,$831,0.52,Very Good,F,SI1,Feb 16
213,Heart,$831,0.50,Very Good,E,SI1,Feb 16
214,Heart,$831,0.52,Very Good,H,SI1,Feb 17
215,Heart,$832,0.50,Very Good,I,VVS2,Feb 17
216,Heart,$832,0.50,Very Good,G,VS2,Feb 16
217,Heart,$832,0.50,Very Good,F,SI1,Feb 14
218,Heart,$833,0.49,Very Good,H,SI1,Feb 14
219,Heart,$834,0.50,Very Good,H,SI1,Feb 17
220,Heart,$836,0.50,Very Good,H,VS1,Feb 17
221,Heart,$836,0.55,Very Good,I,SI1,Feb 17
222,Heart,$836,0.50,Very Good,J,VS2,Feb 17
223,Heart,$837,0.50,Very Good,G,SI1,Feb 16
224,Heart,$837,0.52,Very Good,F,SI1,Feb 17
225,Heart,$839,0.50,Very Good,J,SI1,Feb 13
226,Heart,$839,0.39,Very Good,E,VS1,Feb 14
227,Heart,$839,0.40,Very Good,D,VVS2,Feb 17
228,Heart,$841,0.50,Very Good,G,SI1,Feb 16
229,Heart,$841,0.31,Very Good,D,IF,Feb 13
230,Heart,$843,0.52,Very Good,F,SI1,Feb 16
231,Heart,$844,0.50,Very Good,F,SI1,Feb 16
232,Heart,$845,0.50,Very Good,G,SI1,Feb 17
233,Heart,$846,0.52,Very Good,E,SI1,Feb 16
234,Heart,$846,0.50,Very Good,J,VS1,Feb 17
235,Heart,$848,0.50,Very Good,E,SI1,Feb 16
236,Heart,$848,0.50,Very Good,E,SI1,Feb 16
237,Heart,$849,0.52,Very Good,I,VS2,Feb 17
238,Heart,$850,0.50,Very Good,G,VS1,Feb 17
239,Heart,$850,0.50,Very Good,G,VS1,Feb 17
240,Heart,$851,0.40,Very Good,D,VVS2,Feb 17
241,Heart,$852,0.50,Very Good,D,SI2,Feb 16
242,Heart,$854,0.36,Very Good,E,VVS1,Feb 14
243,Heart,$855,0.50,Very Good,F,SI1,Feb 16
244,Heart,$855,0.50,Very Good,F,SI1,Feb 16
245,Heart,$856,0.50,Very Good,G,SI1,Feb 16
246,Heart,$856,0.52,Very Good,F,SI1,Feb 14
247,Heart,$857,0.50,Very Good,H,VS2,Feb 16
248,Heart,$857,0.41,Very Good,D,SI1,Feb 14
249,Heart,$860,0.50,Very Good,E,SI1,Feb 16
250,Heart,$860,0.50,Very Good,E,SI1,Feb 16
251,Heart,$860,0.41,Very Good,H,VVS1,Feb 13
252,Heart,$861,0.54,Very Good,G,SI1,Feb 17
253,Heart,$863,0.50,Very Good,I,VS1,Feb 16
254,Heart,$866,0.50,Very Good,H,SI1,Feb 16
255,Heart,$866,0.40,Very Good,G,VVS2,Feb 22
256,Heart,$867,0.50,Very Good,F,SI1,Feb 16
257,Heart,$867,0.50,Very Good,G,SI1,Feb 17
258,Heart,$869,0.52,Very Good,G,VS2,Feb 17
259,Heart,$871,0.52,Very Good,F,SI1,Feb 16
260,Heart,$871,0.50,Very Good,E,SI1,Feb 16
261,Heart,$871,0.50,Very Good,E,SI1,Feb 16
262,Heart,$872,0.50,Very Good,H,VVS2,Feb 16
263,Heart,$872,0.50,Very Good,J,VVS1,Feb 22
264,Heart,$873,0.50,Very Good,H,VS2,Feb 16
265,Heart,$874,0.50,Very Good,F,SI1,Feb 16
266,Heart,$874,0.50,Very Good,F,SI1,Feb 16
267,Heart,$875,0.50,Very Good,E,SI1,Feb 16
268,Heart,$875,0.50,Very Good,G,SI2,Feb 14
269,Heart,$877,0.50,Very Good,I,VVS2,Feb 22
270,Heart,$877,0.50,Very Good,G,SI1,Feb 16
271,Heart,$877,0.50,Very Good,H,SI1,Feb 16
272,Heart,$881,0.50,Very Good,G,SI1,Feb 16
273,Heart,$882,0.30,Very Good,D,IF,Feb 14
274,Heart,$883,0.50,Very Good,G,VS2,Feb 20
275,Heart,$885,0.52,Very Good,J,VVS1,Feb 16
276,Heart,$886,0.50,Very Good,F,SI1,Feb 16
277,Heart,$886,0.50,Very Good,F,SI1,Feb 16
278,Heart,$886,0.50,Very Good,F,SI2,Feb 14
279,Heart,$887,0.49,Very Good,J,VS1,Feb 20
280,Heart,$887,0.62,Very Good,I,SI2,Feb 16
281,Heart,$887,0.50,Very Good,J,VVS1,Feb 22
282,Heart,$888,0.52,Very Good,I,VS2,Feb 17
283,Heart,$888,0.50,Very Good,G,SI1,Feb 16
284,Heart,$890,0.50,Very Good,D,SI1,Feb 16
285,Heart,$890,0.40,Very Good,D,VS2,Feb 17
286,Heart,$890,0.50,Very Good,F,SI1,Feb 16
287,Heart,$890,0.50,Very Good,F,SI1,Feb 16
288,Heart,$891,0.50,Very Good,G,VS2,Feb 16
289,Heart,$891,0.40,Very Good,E,VS2,Feb 14
290,Heart,$892,0.65,Very Good,I,SI1,Feb 17
291,Heart,$893,0.55,Very Good,I,SI1,Feb 16
292,Heart,$894,0.50,Very Good,H,VS2,Feb 16
293,Heart,$894,0.50,Very Good,H,SI1,Feb 16
294,Heart,$895,0.50,Very Good,E,SI1,Feb 16
295,Heart,$896,0.53,Very Good,G,SI1,Feb 21
296,Heart,$897,0.50,Very Good,E,VS2,Feb 14
297,Heart,$897,0.50,Very Good,I,VS2,Feb 16
298,Heart,$897,0.50,Very Good,I,VS2,Feb 16
299,Heart,$899,0.54,Very Good,G,VS2,Feb 17
300,Heart,$899,0.50,Very Good,G,SI1,Feb 16
301,Heart,$900,0.51,Very Good,H,SI1,Feb 16
302,Heart,$902,0.50,Very Good,G,SI1,Feb 17
303,Heart,$902,0.52,Very Good,D,SI1,Feb 16
304,Heart,$902,0.51,Very Good,J,VS2,Feb 16
305,Heart,$903,0.40,Very Good,E,VS2,Feb 14
306,Heart,$903,0.40,Very Good,E,VS2,Feb 14
307,Heart,$904,0.49,Very Good,G,VS2,Feb 17
308,Heart,$904,0.40,Very Good,F,VS1,Feb 14
309,Heart,$904,0.53,Very Good,J,VS1,Feb 21
310,Heart,$905,0.50,Very Good,H,VVS2,Feb 16
311,Heart,$905,0.50,Very Good,J,VS1,Feb 17
312,Heart,$906,0.52,Very Good,G,VS2,Feb 20
313,Heart,$907,0.53,Very Good,I,VS1,Feb 16
314,Heart,$907,0.50,Very Good,D,SI1,Feb 16
315,Heart,$907,0.43,Very Good,H,VS1,Feb 14
316,Heart,$907,0.50,Very Good,E,SI1,Feb 17
317,Heart,$908,0.50,Very Good,H,SI1,Feb 16
318,Heart,$908,0.51,Very Good,I,VS1,Feb 16
319,Heart,$909,0.46,Very Good,E,SI1,Feb 14
320,Heart,$911,0.50,Very Good,H,VS2,Feb 16
321,Heart,$911,0.50,Very Good,G,SI1,Feb 21
322,Heart,$912,0.51,Very Good,E,SI1,Feb 16
323,Heart,$912,0.40,Very Good,G,VVS1,Feb 13
324,Heart,$915,0.54,Very Good,G,SI1,Feb 16
325,Heart,$916,0.51,Very Good,E,SI1,Feb 16
326,Heart,$916,0.50,Very Good,I,VS2,Feb 16
327,Heart,$917,0.50,Very Good,G,SI1,Feb 16
328,Heart,$917,0.46,Very Good,D,SI1,Feb 14
329,Heart,$918,0.60,Very Good,F,SI1,Feb 16
330,Heart,$918,0.70,Very Good,G,SI2,Feb 16
331,Heart,$919,0.54,Very Good,I,VS2,Feb 22
332,Heart,$919,0.50,Very Good,H,VS1,Feb 17
333,Heart,$919,0.49,Very Good,H,VVS1,Feb 22
334,Heart,$920,0.42,Very Good,G,VS1,Feb 14
335,Heart,$920,0.37,Very Good,D,IF,Feb 21
336,Heart,$922,0.50,Very Good,H,VS2,Feb 17
337,Heart,$923,0.51,Very Good,H,VS2,Feb 16
338,Heart,$923,0.62,Very Good,I,VS2,Feb 22
339,Heart,$924,0.50,Very Good,D,SI1,Feb 16
340,Heart,$924,0.51,Very Good,H,VS1,Feb 16
341,Heart,$924,0.50,Very Good,D,SI1,Feb 16
342,Heart,$924,0.50,Very Good,D,SI1,Feb 16
343,Heart,$924,0.50,Very Good,D,VS2,Feb 17
344,Heart,$925,0.50,Very Good,H,VVS2,Feb 16
345,Heart,$925,0.50,Very Good,D,SI2,Feb 16
346,Heart,$927,0.50,Very Good,H,VS2,Feb 16
347,Heart,$927,0.50,Very Good,H,VS2,Feb 16
348,Heart,$928,0.53,Very Good,I,VS1,Feb 16
349,Heart,$928,0.50,Very Good,G,SI1,Feb 16
350,Heart,$928,0.40,Very Good,E,VS1,Feb 14
351,Heart,$928,0.51,Very Good,D,SI1,Feb 13
352,Heart,$929,0.51,Very Good,I,VS1,Feb 17
353,Heart,$929,0.50,Very Good,D,SI1,Feb 16
354,Heart,$930,0.50,Very Good,D,SI1,Feb 21
355,Heart,$931,0.50,Very Good,E,SI1,Feb 17
356,Heart,$932,0.50,Very Good,G,VS1,Feb 16
357,Heart,$932,0.50,Very Good,F,SI2,Feb 13
358,Heart,$933,0.51,Very Good,D,SI1,Feb 16
359,Heart,$934,0.52,Very Good,I,VS2,Feb 16
360,Heart,$935,0.50,Very Good,I,VS1,Feb 17
361,Heart,$935,0.50,Very Good,I,VS1,Feb 17
362,Heart,$936,0.56,Very Good,J,IF,Feb 22
363,Heart,$936,0.45,Very Good,G,VS1,Feb 13
364,Heart,$937,0.51,Very Good,D,SI1,Feb 16
365,Heart,$941,0.40,Very Good,E,VS1,Feb 14
366,Heart,$941,0.40,Very Good,E,VS1,Feb 14
367,Heart,$941,0.40,Very Good,F,VS1,Feb 14
368,Heart,$941,0.40,Very Good,E,VS1,Feb 14
369,Heart,$942,0.50,Very Good,D,SI1,Feb 16
370,Heart,$942,0.52,Very Good,H,SI1,Feb 17
371,Heart,$943,0.50,Very Good,E,SI1,Feb 16
372,Heart,$943,0.50,Very Good,I,VS2,Feb 16
373,Heart,$943,0.55,Very Good,F,SI1,Feb 17
374,Heart,$944,0.51,Very Good,H,VVS2,Feb 16
375,Heart,$944,0.50,Very Good,H,VS2,Feb 16
376,Heart,$944,0.51,Very Good,I,VS1,Feb 13
377,Heart,$945,0.50,Very Good,G,VVS2,Feb 20
