,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Marquise,$334,0.30,Very Good,J,VS1,Feb 17
1,Marquise,$344,0.30,Very Good,I,SI1,Feb 16
2,Marquise,$415,0.30,Very Good,H,SI1,Feb 16
3,Marquise,$420,0.30,Very Good,I,VVS2,Feb 17
4,Marquise,$455,0.25,Very Good,D,SI1,Feb 7
5,Marquise,$467,0.31,Very Good,F,SI1,Feb 17
6,Marquise,$479,0.30,Very Good,G,SI1,Feb 14
7,Marquise,$481,0.31,Very Good,F,VS2,Feb 17
8,Marquise,$489,0.32,Very Good,F,SI1,Feb 17
9,Marquise,$498,0.30,Very Good,H,SI1,Feb 16
10,Marquise,$504,0.30,Very Good,F,SI1,Feb 16
11,Marquise,$515,0.40,Very Good,J,VS1,Feb 17
12,Marquise,$517,0.30,Very Good,F,SI1,Feb 16
13,Marquise,$518,0.35,Very Good,G,SI1,Feb 16
14,Marquise,$519,0.30,Very Good,H,VS1,Feb 17
15,Marquise,$524,0.40,Very Good,E,SI2,Feb 16
16,Marquise,$528,0.30,Very Good,F,SI1,Feb 16
17,Marquise,$533,0.30,Very Good,F,SI1,Feb 16
18,Marquise,$545,0.35,Very Good,G,VS1,Feb 22
19,Marquise,$548,0.30,Very Good,F,SI1,Feb 16
20,Marquise,$549,0.30,Very Good,G,VS2,Feb 14
21,Marquise,$549,0.30,Very Good,G,SI1,Feb 16
22,Marquise,$551,0.30,Very Good,D,SI1,Feb 14
23,Marquise,$552,0.30,Very Good,H,VS2,Feb 16
24,Marquise,$555,0.30,Very Good,E,VS2,Feb 17
25,Marquise,$556,0.40,Very Good,E,SI2,Feb 14
26,Marquise,$559,0.32,Very Good,H,VS1,Feb 17
27,Marquise,$565,0.32,Very Good,E,VS2,Feb 17
28,Marquise,$565,0.39,Very Good,F,SI2,Feb 20
29,Marquise,$567,0.30,Very Good,H,VS1,Feb 16
30,Marquise,$569,0.30,Very Good,H,VS1,Feb 16
31,Marquise,$571,0.30,Very Good,E,SI1,Feb 13
32,Marquise,$576,0.31,Very Good,G,IF,Feb 16
33,Marquise,$577,0.30,Very Good,D,SI1,Feb 14
34,Marquise,$577,0.30,Very Good,G,VS2,Feb 14
35,Marquise,$582,0.30,Very Good,F,VS2,Feb 14
36,Marquise,$589,0.30,Very Good,D,VS2,Feb 13
37,Marquise,$598,0.32,Very Good,G,IF,Feb 16
38,Marquise,$600,0.30,Very Good,E,VS2,Feb 14
39,Marquise,$605,0.30,Very Good,D,VS2,Feb 21
40,Marquise,$609,0.30,Very Good,E,VS2,Feb 14
41,Marquise,$610,0.34,Very Good,H,VS1,Feb 14
42,Marquise,$613,0.30,Very Good,D,SI1,Feb 16
43,Marquise,$613,0.31,Very Good,G,VS2,Feb 14
44,Marquise,$622,0.30,Very Good,D,SI1,Feb 16
45,Marquise,$624,0.30,Very Good,D,VS2,Feb 16
46,Marquise,$626,0.34,Very Good,E,VS2,Feb 17
47,Marquise,$626,0.30,Very Good,E,VS2,Feb 16
48,Marquise,$628,0.30,Very Good,D,VS2,Feb 16
49,Marquise,$629,0.30,Very Good,D,SI1,Feb 16
50,Marquise,$630,0.41,Very Good,H,SI1,Feb 16
51,Marquise,$635,0.30,Very Good,E,VS1,Feb 13
52,Marquise,$638,0.30,Very Good,E,VS2,Feb 16
53,Marquise,$638,0.30,Very Good,G,VS1,Feb 16
