,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Oval,$283,0.23,Very Good,F,VVS2,Feb 21
1,Oval,$286,0.23,Very Good,F,VS2,Feb 21
2,Oval,$314,0.23,Very Good,F,VVS1,Feb 21
3,Oval,$314,0.23,Very Good,F,VVS1,Feb 21
4,Oval,$319,0.23,Very Good,E,VVS1,Feb 21
5,Oval,$319,0.23,Very Good,E,VVS1,Feb 21
6,Oval,$322,0.24,Very Good,F,VVS1,Feb 21
7,Oval,$333,0.24,Very Good,E,VVS1,Feb 21
8,Oval,$333,0.24,Very Good,E,VVS1,Feb 21
9,Oval,$334,0.23,Very Good,E,VVS2,Feb 21
10,Oval,$338,0.30,Very Good,I,VS2,Feb 17
11,Oval,$341,0.31,Very Good,J,SI1,Feb 17
12,Oval,$355,0.26,Very Good,E,VVS1,Feb 21
13,Oval,$357,0.32,Very Good,J,VVS1,Feb 13
14,Oval,$358,0.31,Very Good,J,VS1,Feb 17
15,Oval,$359,0.23,Very Good,E,SI1,Feb 20
16,Oval,$360,0.31,Very Good,J,VS2,Feb 16
17,Oval,$362,0.30,Very Good,I,SI1,Feb 16
18,Oval,$363,0.25,Very Good,E,VVS2,Feb 21
19,Oval,$368,0.27,Very Good,F,VVS1,Feb 21
20,Oval,$370,0.23,Very Good,F,VS2,Feb 13
21,Oval,$371,0.30,Very Good,I,VS2,Feb 21
22,Oval,$372,0.31,Very Good,I,VS1,Feb 10
23,Oval,$380,0.27,Very Good,F,VS1,Feb 13
24,Oval,$381,0.30,Very Good,I,SI1,Feb 16
25,Oval,$382,0.28,Very Good,E,VVS2,Feb 21
26,Oval,$387,0.30,Very Good,E,SI2,Feb 17
27,Oval,$390,0.35,Very Good,I,VS1,Feb 17
28,Oval,$391,0.30,Very Good,I,SI1,Feb 16
29,Oval,$392,0.30,Very Good,F,SI2,Feb 16
30,Oval,$394,0.30,Very Good,G,SI1,Feb 16
31,Oval,$398,0.30,Very Good,E,SI2,Feb 14
32,Oval,$400,0.34,Very Good,F,SI2,Feb 13
33,Oval,$402,0.30,Very Good,F,SI2,Feb 13
34,Oval,$404,0.30,Very Good,H,VS2,Feb 21
35,Oval,$404,0.31,Very Good,F,SI2,Feb 17
36,Oval,$408,0.30,Very Good,I,VS2,Feb 16
37,Oval,$410,0.30,Very Good,F,VS2,Feb 13
38,Oval,$410,0.33,Very Good,D,SI2,Feb 13
39,Oval,$411,0.30,Very Good,I,VS2,Feb 13
40,Oval,$412,0.30,Very Good,J,VVS1,Feb 16
41,Oval,$414,0.23,Very Good,E,VS2,Feb 20
42,Oval,$414,0.30,Very Good,F,SI1,Feb 17
43,Oval,$415,0.32,Very Good,F,SI2,Feb 17
44,Oval,$415,0.30,Very Good,F,SI2,Feb 14
45,Oval,$417,0.30,Very Good,E,SI2,Feb 16
46,Oval,$419,0.29,Very Good,G,VS2,Feb 17
47,Oval,$419,0.30,Very Good,I,SI1,Feb 16
48,Oval,$421,0.32,Very Good,F,SI1,Feb 17
49,Oval,$421,0.40,Very Good,I,SI2,Feb 16
50,Oval,$421,0.31,Very Good,J,VVS1,Feb 16
51,Oval,$422,0.30,Very Good,F,SI2,Feb 17
52,Oval,$423,0.32,Very Good,H,SI1,Feb 13
53,Oval,$423,0.30,Very Good,I,IF,Feb 21
54,Oval,$425,0.30,Very Good,E,SI2,Feb 17
55,Oval,$425,0.32,Very Good,I,SI1,Feb 16
56,Oval,$428,0.30,Very Good,E,SI1,Feb 17
57,Oval,$430,0.31,Very Good,I,VS1,Feb 16
58,Oval,$430,0.25,Very Good,D,VVS2,Feb 13
59,Oval,$432,0.30,Very Good,F,SI2,Feb 13
60,Oval,$433,0.30,Very Good,I,VS1,Feb 13
61,Oval,$434,0.30,Very Good,I,VS1,Feb 21
62,Oval,$436,0.30,Very Good,D,SI2,Feb 14
63,Oval,$442,0.35,Very Good,J,SI1,Feb 13
64,Oval,$443,0.30,Very Good,H,SI1,Feb 16
65,Oval,$444,0.30,Very Good,E,SI2,Feb 14
66,Oval,$445,0.30,Very Good,G,SI2,Feb 16
67,Oval,$445,0.31,Very Good,F,SI2,Feb 13
68,Oval,$446,0.30,Very Good,H,SI1,Feb 13
69,Oval,$449,0.31,Very Good,I,VS2,Feb 16
70,Oval,$450,0.33,Very Good,F,SI1,Feb 13
71,Oval,$451,0.30,Very Good,I,VS1,Feb 13
72,Oval,$451,0.40,Very Good,J,SI1,Feb 16
73,Oval,$454,0.40,Very Good,H,SI2,Feb 16
74,Oval,$454,0.40,Very Good,J,SI1,Feb 16
75,Oval,$459,0.30,Very Good,E,SI2,Feb 16
76,Oval,$460,0.31,Very Good,D,SI2,Feb 17
77,Oval,$460,0.30,Very Good,G,SI1,Feb 17
78,Oval,$462,0.30,Very Good,E,SI2,Feb 13
79,Oval,$463,0.27,Very Good,E,VVS1,Feb 21
80,Oval,$463,0.30,Very Good,E,SI2,Feb 14
81,Oval,$463,0.30,Very Good,F,SI1,Feb 14
82,Oval,$464,0.36,Very Good,G,SI1,Feb 17
83,Oval,$464,0.30,Very Good,E,SI2,Feb 16
84,Oval,$467,0.30,Very Good,E,SI1,Feb 14
85,Oval,$470,0.40,Very Good,I,SI1,Feb 16
86,Oval,$470,0.30,Very Good,G,VVS2,Feb 13
87,Oval,$470,0.34,Very Good,F,VS2,Feb 13
88,Oval,$473,0.31,Very Good,I,VVS2,Feb 16
89,Oval,$473,0.30,Very Good,I,VS1,Feb 16
90,Oval,$474,0.32,Very Good,G,SI1,Feb 13
91,Oval,$474,0.30,Very Good,E,VS2,Feb 17
92,Oval,$476,0.30,Very Good,I,SI1,Feb 13
93,Oval,$477,0.33,Very Good,G,SI1,Feb 17
94,Oval,$477,0.30,Very Good,F,SI1,Feb 17
95,Oval,$478,0.30,Very Good,F,SI1,Feb 16
96,Oval,$480,0.40,Very Good,I,SI1,Feb 16
97,Oval,$480,0.31,Very Good,F,SI2,Feb 13
98,Oval,$481,0.31,Very Good,E,SI2,Feb 16
99,Oval,$482,0.35,Very Good,G,SI1,Feb 17
100,Oval,$482,0.23,Very Good,D,VS1,Feb 20
101,Oval,$482,0.30,Very Good,I,VVS1,Feb 16
102,Oval,$483,0.30,Very Good,D,SI2,Feb 17
103,Oval,$483,0.30,Very Good,G,SI1,Feb 17
104,Oval,$485,0.33,Very Good,E,VS1,Feb 17
105,Oval,$488,0.30,Very Good,E,SI2,Feb 16
106,Oval,$489,0.36,Very Good,F,SI2,Feb 17
107,Oval,$489,0.30,Very Good,D,SI1,Feb 10
108,Oval,$489,0.31,Very Good,E,SI2,Feb 14
109,Oval,$490,0.30,Very Good,D,VVS2,Feb 13
