,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Pear,$274,0.30,Very Good,I,SI1,Feb 14
1,Pear,$299,0.30,Very Good,G,SI2,Feb 14
2,Pear,$320,0.30,Very Good,G,SI2,Feb 13
3,Pear,$326,0.24,Very Good,E,SI2,Feb 20
4,Pear,$333,0.26,Very Good,F,VS1,Feb 21
5,Pear,$360,0.30,Very Good,I,SI1,Feb 16
6,Pear,$370,0.30,Very Good,I,VVS2,Feb 13
7,Pear,$370,0.31,Very Good,F,SI2,Feb 13
8,Pear,$372,0.31,Very Good,E,SI2,Feb 17
9,Pear,$374,0.30,Very Good,I,VS2,Feb 16
10,Pear,$376,0.29,Very Good,G,SI1,Feb 17
11,Pear,$376,0.30,Very Good,I,VS2,Feb 16
12,Pear,$380,0.25,Very Good,E,VVS1,Feb 13
13,Pear,$390,0.23,Very Good,D,VVS2,Feb 13
14,Pear,$392,0.27,Very Good,E,VVS2,Feb 21
15,Pear,$400,0.33,Very Good,D,SI1,Feb 13
16,Pear,$400,0.24,Very Good,E,VVS1,Feb 13
17,Pear,$405,0.25,Very Good,E,VS2,Feb 20
18,Pear,$405,0.33,Very Good,H,SI2,Feb 20
19,Pear,$408,0.32,Very Good,D,SI2,Feb 20
20,Pear,$408,0.33,Very Good,J,VS1,Feb 16
21,Pear,$408,0.23,Very Good,E,VS2,Feb 20
22,Pear,$412,0.24,Very Good,F,VS2,Feb 20
23,Pear,$417,0.31,Very Good,J,IF,Feb 16
24,Pear,$417,0.30,Very Good,G,SI1,Feb 14
25,Pear,$419,0.30,Very Good,G,SI1,Feb 16
26,Pear,$421,0.30,Very Good,F,SI1,Feb 20
27,Pear,$424,0.30,Very Good,F,SI1,Feb 14
28,Pear,$429,0.40,Very Good,J,SI1,Feb 16
29,Pear,$430,0.30,Very Good,D,VS2,Feb 13
30,Pear,$430,0.31,Very Good,F,SI1,Feb 13
31,Pear,$430,0.29,Very Good,E,VVS2,Feb 13
32,Pear,$430,0.25,Very Good,E,VVS2,Feb 13
33,Pear,$430,0.30,Very Good,E,SI2,Feb 16
34,Pear,$430,0.30,Very Good,E,SI2,Feb 16
35,Pear,$437,0.28,Very Good,D,SI2,Feb 20
36,Pear,$439,0.30,Very Good,I,VVS2,Feb 17
37,Pear,$440,0.30,Very Good,F,VS1,Feb 13
38,Pear,$445,0.30,Very Good,I,VVS1,Feb 16
39,Pear,$446,0.31,Very Good,I,VVS1,Feb 16
40,Pear,$450,0.33,Very Good,I,VS1,Feb 16
41,Pear,$450,0.31,Very Good,I,VS1,Feb 16
42,Pear,$450,0.30,Very Good,D,VS2,Feb 13
43,Pear,$450,0.33,Very Good,F,SI1,Feb 13
44,Pear,$450,0.33,Very Good,F,SI1,Feb 13
45,Pear,$452,0.40,Very Good,H,SI2,Feb 16
46,Pear,$452,0.40,Very Good,I,SI2,Feb 16
47,Pear,$453,0.23,Very Good,F,VVS2,Feb 20
48,Pear,$453,0.31,Very Good,H,VVS1,Feb 17
