,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Princess,$324,0.30,Very Good,J,VS1,Feb 16
1,Princess,$337,0.30,Very Good,H,SI1,Feb 17
2,Princess,$351,0.30,Very Good,G,SI2,Feb 14
3,Princess,$358,0.33,Very Good,J,VVS2,Feb 16
4,Princess,$360,0.30,Very Good,E,SI2,Feb 13
5,Princess,$362,0.30,Very Good,G,VS2,Feb 17
6,Princess,$364,0.31,Very Good,J,VVS1,Feb 16
7,Princess,$365,0.23,Very Good,E,SI1,Feb 7
8,Princess,$365,0.34,Very Good,J,VVS2,Feb 16
9,Princess,$368,0.34,Very Good,J,VVS2,Feb 16
10,Princess,$368,0.34,Very Good,J,VVS2,Feb 16
11,Princess,$368,0.34,Very Good,J,VVS2,Feb 16
12,Princess,$374,0.32,Very Good,F,SI2,Feb 16
13,Princess,$374,0.32,Very Good,F,SI2,Feb 16
14,Princess,$376,0.30,Very Good,E,SI1,Feb 21
15,Princess,$380,0.30,Very Good,H,VVS1,Feb 13
16,Princess,$380,0.30,Very Good,H,VVS1,Feb 13
17,Princess,$382,0.23,Very Good,F,VS2,Feb 14
18,Princess,$382,0.23,Very Good,F,VS2,Feb 14
19,Princess,$383,0.30,Very Good,I,VVS2,Feb 16
20,Princess,$385,0.23,Very Good,G,VVS1,Feb 17
21,Princess,$388,0.31,Very Good,F,VS1,Feb 17
22,Princess,$389,0.31,Very Good,J,VVS1,Feb 16
23,Princess,$389,0.31,Very Good,I,VS1,Feb 16
24,Princess,$389,0.31,Very Good,I,VS1,Feb 16
25,Princess,$389,0.31,Very Good,I,VS1,Feb 16
26,Princess,$389,0.31,Very Good,E,SI2,Feb 16
27,Princess,$389,0.31,Very Good,E,SI2,Feb 16
28,Princess,$389,0.31,Very Good,I,VS1,Feb 16
29,Princess,$389,0.31,Very Good,I,VS1,Feb 16
30,Princess,$389,0.31,Very Good,I,VS1,Feb 16
31,Princess,$389,0.31,Very Good,E,SI2,Feb 16
32,Princess,$389,0.31,Very Good,E,SI2,Feb 16
33,Princess,$390,0.30,Very Good,G,VS1,Feb 13
34,Princess,$390,0.31,Very Good,H,VVS1,Feb 13
35,Princess,$390,0.31,Very Good,H,VVS1,Feb 13
36,Princess,$392,0.23,Very Good,F,VS1,Feb 14
37,Princess,$392,0.23,Very Good,F,VS2,Feb 14
38,Princess,$392,0.23,Very Good,E,VS2,Feb 14
39,Princess,$392,0.23,Very Good,E,VS1,Feb 14
40,Princess,$394,0.31,Very Good,G,VS2,Feb 14
41,Princess,$396,0.23,Very Good,D,VS2,Feb 14
42,Princess,$396,0.23,Very Good,D,VS2,Feb 14
43,Princess,$396,0.30,Very Good,I,VVS2,Feb 16
44,Princess,$397,0.30,Very Good,E,SI2,Feb 14
