,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Radiant,$273,0.26,Very Good,H,SI1,Feb 16
1,Radiant,$333,0.31,Very Good,J,VVS2,Feb 16
2,Radiant,$339,0.32,Very Good,G,SI1,Feb 21
3,Radiant,$349,0.23,Very Good,H,VS2,Feb 13
4,Radiant,$353,0.30,Very Good,F,SI1,Feb 21
5,Radiant,$358,0.30,Very Good,I,VS1,Feb 16
6,Radiant,$358,0.30,Very Good,F,SI1,Feb 22
7,Radiant,$362,0.31,Very Good,F,SI2,Feb 16
8,Radiant,$362,0.32,Very Good,E,SI2,Feb 21
9,Radiant,$370,0.30,Very Good,F,SI1,Feb 16
10,Radiant,$373,0.30,Very Good,I,VVS2,Feb 21
11,Radiant,$377,0.30,Very Good,I,VVS1,Feb 16
12,Radiant,$384,0.34,Very Good,I,VS1,Feb 16
13,Radiant,$388,0.33,Very Good,G,SI1,Feb 21
14,Radiant,$389,0.31,Very Good,D,SI2,Feb 21
15,Radiant,$396,0.30,Very Good,I,VVS1,Feb 17
16,Radiant,$403,0.31,Very Good,E,SI1,Feb 21
17,Radiant,$405,0.31,Very Good,E,SI1,Feb 16
18,Radiant,$406,0.30,Very Good,E,SI1,Feb 16
19,Radiant,$407,0.32,Very Good,H,VS1,Feb 16
20,Radiant,$408,0.30,Very Good,H,VS1,Feb 21
21,Radiant,$411,0.31,Very Good,I,VVS2,Feb 16
22,Radiant,$413,0.30,Very Good,H,VS1,Feb 16
23,Radiant,$414,0.30,Very Good,E,VS2,Feb 21
24,Radiant,$415,0.30,Very Good,D,SI1,Feb 16
25,Radiant,$420,0.34,Very Good,I,VS1,Feb 16
26,Radiant,$420,0.30,Very Good,I,VVS1,Feb 16
27,Radiant,$420,0.30,Very Good,H,VS2,Feb 17
28,Radiant,$421,0.32,Very Good,H,VS1,Feb 21
29,Radiant,$422,0.31,Very Good,I,VVS1,Feb 21
30,Radiant,$430,0.30,Very Good,D,SI1,Feb 16
31,Radiant,$435,0.30,Very Good,G,VVS2,Feb 16
32,Radiant,$437,0.30,Very Good,D,SI1,Feb 16
33,Radiant,$437,0.30,Very Good,G,VS1,Feb 16
34,Radiant,$437,0.30,Very Good,H,VVS2,Feb 16
35,Radiant,$437,0.28,Very Good,E,VS2,Feb 13
36,Radiant,$438,0.32,Very Good,H,VVS2,Feb 20
37,Radiant,$440,0.31,Very Good,E,SI1,Feb 16
38,Radiant,$443,0.32,Very Good,G,VS1,Feb 21
39,Radiant,$444,0.30,Very Good,I,IF,Feb 16
40,Radiant,$450,0.30,Very Good,H,VVS1,Feb 16
41,Radiant,$450,0.31,Very Good,I,IF,Feb 16
42,Radiant,$450,0.30,Very Good,E,VS1,Feb 16
43,Radiant,$451,0.31,Very Good,H,VVS1,Feb 21
44,Radiant,$451,0.38,Very Good,H,SI1,Feb 21
45,Radiant,$452,0.31,Very Good,G,VS1,Feb 16
46,Radiant,$456,0.35,Very Good,I,VVS2,Feb 16
47,Radiant,$457,0.31,Very Good,H,VVS2,Feb 16
48,Radiant,$457,0.30,Very Good,G,IF,Feb 21
49,Radiant,$462,0.31,Very Good,G,VVS2,Feb 16
50,Radiant,$465,0.28,Very Good,E,IF,Feb 13
51,Radiant,$466,0.34,Very Good,H,VVS2,Feb 16
52,Radiant,$468,0.30,Very Good,H,VVS1,Feb 16
53,Radiant,$468,0.30,Very Good,H,VVS1,Feb 16
54,Radiant,$468,0.30,Very Good,G,VS1,Feb 16
55,Radiant,$469,0.33,Very Good,I,VVS2,Feb 17
56,Radiant,$469,0.38,Very Good,I,VVS2,Feb 22
57,Radiant,$470,0.30,Very Good,G,VVS1,Feb 20
58,Radiant,$470,0.35,Very Good,H,VS1,Feb 21
59,Radiant,$474,0.37,Very Good,J,FL,Feb 21
60,Radiant,$474,0.31,Very Good,H,IF,Feb 21
61,Radiant,$475,0.32,Very Good,H,VVS2,Feb 16
62,Radiant,$482,0.31,Very Good,H,VVS1,Feb 16
63,Radiant,$482,0.31,Very Good,G,VS1,Feb 16
64,Radiant,$483,0.38,Very Good,H,VS1,Feb 20
65,Radiant,$483,0.30,Very Good,G,VVS2,Feb 16
66,Radiant,$483,0.30,Very Good,D,VS2,Feb 16
67,Radiant,$483,0.30,Very Good,D,VS2,Feb 16
68,Radiant,$488,0.31,Very Good,G,VVS2,Feb 16
69,Radiant,$488,0.31,Very Good,G,VVS2,Feb 16
70,Radiant,$490,0.31,Very Good,G,VS1,Feb 16
71,Radiant,$495,0.30,Very Good,F,VVS1,Feb 21
72,Radiant,$496,0.31,Very Good,F,VVS1,Feb 16
73,Radiant,$499,0.31,Very Good,G,VS1,Feb 16
74,Radiant,$501,0.30,Very Good,G,IF,Feb 21
75,Radiant,$502,0.30,Very Good,G,IF,Feb 21
76,Radiant,$503,0.34,Very Good,G,VVS2,Feb 16
77,Radiant,$503,0.28,Very Good,F,VVS1,Feb 21
78,Radiant,$505,0.31,Very Good,G,VVS1,Feb 16
79,Radiant,$506,0.31,Very Good,H,IF,Feb 16
80,Radiant,$510,0.50,Very Good,H,SI2,Feb 14
81,Radiant,$511,0.30,Very Good,E,VVS1,Feb 21
82,Radiant,$511,0.31,Very Good,E,VVS1,Feb 21
83,Radiant,$512,0.40,Very Good,J,VVS2,Feb 16
84,Radiant,$512,0.30,Very Good,G,IF,Feb 21
85,Radiant,$513,0.40,Very Good,I,VS2,Feb 21
86,Radiant,$519,0.31,Very Good,G,IF,Feb 21
87,Radiant,$520,0.31,Very Good,E,VVS2,Feb 16
88,Radiant,$520,0.50,Very Good,I,SI2,Feb 14
89,Radiant,$522,0.50,Very Good,J,SI1,Feb 14
90,Radiant,$524,0.31,Very Good,D,VVS1,Feb 21
91,Radiant,$525,0.31,Very Good,G,VVS1,Feb 21
92,Radiant,$527,0.39,Very Good,H,VVS2,Feb 20
93,Radiant,$527,0.33,Very Good,F,VVS2,Feb 16
94,Radiant,$527,0.32,Very Good,G,IF,Feb 21
95,Radiant,$528,0.34,Very Good,G,VVS2,Feb 16
96,Radiant,$529,0.32,Very Good,D,VVS2,Feb 21
97,Radiant,$529,0.32,Very Good,G,VVS1,Feb 16
98,Radiant,$530,0.33,Very Good,H,IF,Feb 21
99,Radiant,$530,0.30,Very Good,E,VVS2,Feb 16
100,Radiant,$530,0.30,Very Good,D,VS1,Feb 16
101,Radiant,$531,0.31,Very Good,G,VVS1,Feb 16
102,Radiant,$531,0.30,Very Good,G,FL,Feb 21
103,Radiant,$532,0.40,Very Good,E,SI2,Feb 21
104,Radiant,$533,0.31,Very Good,G,VVS1,Feb 21
105,Radiant,$536,0.33,Very Good,F,VVS1,Feb 16
106,Radiant,$536,0.32,Very Good,G,IF,Feb 21
107,Radiant,$536,0.32,Very Good,G,IF,Feb 21
108,Radiant,$536,0.32,Very Good,G,IF,Feb 21
109,Radiant,$537,0.31,Very Good,F,VVS1,Feb 16
110,Radiant,$541,0.34,Very Good,F,VVS1,Feb 20
111,Radiant,$542,0.36,Very Good,E,VS2,Feb 20
112,Radiant,$543,0.33,Very Good,G,IF,Feb 21
113,Radiant,$543,0.50,Very Good,J,SI2,Feb 16
114,Radiant,$544,0.30,Very Good,D,VVS1,Feb 21
115,Radiant,$544,0.50,Very Good,J,SI1,Feb 14
116,Radiant,$546,0.32,Very Good,G,VVS1,Feb 16
117,Radiant,$547,0.30,Very Good,F,VVS1,Feb 16
118,Radiant,$547,0.38,Very Good,G,VS2,Feb 17
119,Radiant,$549,0.30,Very Good,D,VVS2,Feb 16
120,Radiant,$549,0.35,Very Good,F,VS1,Feb 21
121,Radiant,$550,0.31,Very Good,H,FL,Feb 21
122,Radiant,$551,0.50,Very Good,I,SI2,Feb 17
123,Radiant,$551,0.33,Very Good,H,FL,Feb 21
124,Radiant,$552,0.42,Very Good,H,VS2,Feb 21
125,Radiant,$554,0.31,Very Good,E,IF,Feb 16
126,Radiant,$555,0.31,Very Good,E,VVS2,Feb 16
127,Radiant,$555,0.36,Very Good,F,VS1,Feb 21
128,Radiant,$556,0.40,Very Good,I,VVS1,Feb 16
129,Radiant,$557,0.32,Very Good,G,VS2,Feb 13
130,Radiant,$558,0.52,Very Good,H,SI2,Feb 17
131,Radiant,$558,0.40,Very Good,G,SI1,Feb 21
132,Radiant,$558,0.40,Very Good,G,SI1,Feb 21
133,Radiant,$559,0.30,Very Good,E,VVS1,Feb 16
134,Radiant,$559,0.31,Very Good,G,IF,Feb 16
135,Radiant,$560,0.40,Very Good,F,SI1,Feb 21
136,Radiant,$563,0.40,Very Good,H,SI1,Feb 21
137,Radiant,$565,0.38,Very Good,F,VS1,Feb 21
138,Radiant,$571,0.32,Very Good,F,VVS1,Feb 16
139,Radiant,$573,0.40,Very Good,I,VS1,Feb 21
140,Radiant,$576,0.40,Very Good,E,VS2,Feb 22
141,Radiant,$578,0.54,Very Good,J,SI2,Feb 17
142,Radiant,$581,0.35,Very Good,F,IF,Feb 21
143,Radiant,$584,0.30,Very Good,E,VVS1,Feb 21
144,Radiant,$584,0.31,Very Good,F,IF,Feb 21
145,Radiant,$585,0.35,Very Good,G,VVS1,Feb 21
146,Radiant,$585,0.30,Very Good,D,VVS2,Feb 16
147,Radiant,$585,0.30,Very Good,D,VVS2,Feb 16
148,Radiant,$588,0.50,Very Good,J,SI1,Feb 14
149,Radiant,$589,0.40,Very Good,H,VVS1,Feb 22
150,Radiant,$589,0.40,Very Good,H,VVS1,Feb 22
151,Radiant,$593,0.35,Very Good,G,VVS1,Feb 16
152,Radiant,$595,0.31,Very Good,G,FL,Feb 21
