,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Round,$261,0.30,Very Good,I,SI2,Feb 21
1,Round,$263,0.30,Very Good,J,SI2,Feb 17
2,Round,$266,0.30,Very Good,I,SI2,Feb 21
3,Round,$267,0.30,Very Good,J,SI2,Feb 17
4,Round,$269,0.30,Very Good,J,SI2,Feb 17
5,Round,$270,0.30,Very Good,J,SI1,Feb 17
6,Round,$270,0.31,Very Good,I,SI2,Feb 21
7,Round,$272,0.30,Very Good,J,SI2,Feb 17
8,Round,$272,0.30,Very Good,I,SI2,Feb 17
9,Round,$273,0.30,Very Good,J,SI2,Feb 17
10,Round,$273,0.30,Very Good,J,SI2,Feb 17
11,Round,$274,0.30,Very Good,J,SI2,Feb 17
12,Round,$274,0.30,Very Good,J,SI2,Feb 17
13,Round,$276,0.30,Very Good,J,SI2,Feb 17
14,Round,$276,0.30,Very Good,J,SI2,Feb 17
15,Round,$277,0.30,Very Good,J,SI2,Feb 17
16,Round,$280,0.31,Very Good,J,SI2,Feb 17
17,Round,$280,0.30,Very Good,J,SI2,Feb 13
18,Round,$281,0.30,Very Good,I,SI2,Feb 21
19,Round,$283,0.30,Very Good,J,SI1,Feb 21
20,Round,$285,0.30,Very Good,J,SI2,Feb 21
21,Round,$288,0.30,Very Good,J,SI2,Feb 15
22,Round,$289,0.30,Very Good,J,SI1,Feb 17
23,Round,$289,0.30,Very Good,J,SI2,Feb 17
24,Round,$290,0.30,Very Good,I,SI2,Feb 20
25,Round,$291,0.30,Very Good,I,SI2,Feb 17
26,Round,$291,0.30,Very Good,I,SI2,Feb 17
27,Round,$294,0.30,Very Good,J,SI1,Feb 17
28,Round,$294,0.30,Very Good,I,SI2,Feb 17
29,Round,$295,0.29,Very Good,J,SI2,Feb 21
30,Round,$297,0.30,Very Good,I,SI2,Feb 17
31,Round,$297,0.30,Very Good,I,SI1,Feb 17
32,Round,$297,0.30,Very Good,I,SI2,Feb 17
33,Round,$297,0.30,Very Good,I,SI1,Feb 17
34,Round,$298,0.31,Very Good,I,SI2,Feb 17
35,Round,$299,0.30,Very Good,I,SI2,Feb 17
36,Round,$299,0.31,Very Good,J,SI2,Feb 17
37,Round,$299,0.30,Very Good,I,SI1,Feb 21
38,Round,$299,0.30,Very Good,I,SI1,Feb 21
39,Round,$300,0.30,Very Good,F,SI2,Feb 15
40,Round,$301,0.30,Very Good,I,SI2,Feb 21
41,Round,$301,0.30,Very Good,I,SI2,Feb 21
42,Round,$301,0.30,Very Good,I,SI2,Feb 21
43,Round,$303,0.30,Very Good,J,SI1,Feb 15
44,Round,$304,0.30,Very Good,I,SI2,Feb 17
45,Round,$304,0.30,Very Good,I,SI2,Feb 17
46,Round,$304,0.29,Very Good,J,SI1,Feb 21
47,Round,$304,0.30,Very Good,F,SI2,Feb 13
48,Round,$304,0.30,Very Good,F,SI2,Feb 13
49,Round,$305,0.30,Very Good,I,SI2,Feb 17
50,Round,$305,0.30,Very Good,I,SI1,Feb 21
51,Round,$305,0.30,Very Good,I,SI1,Feb 21
52,Round,$305,0.23,Very Good,J,SI1,Feb 21
53,Round,$305,0.30,Very Good,I,SI1,Feb 21
54,Round,$306,0.30,Very Good,I,SI2,Feb 21
55,Round,$306,0.24,Very Good,I,VS1,Feb 21
56,Round,$306,0.30,Very Good,I,SI2,Feb 21
57,Round,$308,0.31,Very Good,J,SI2,Feb 17
58,Round,$308,0.23,Very Good,J,VS1,Feb 21
59,Round,$308,0.30,Very Good,F,SI2,Feb 21
60,Round,$308,0.30,Very Good,F,SI2,Feb 21
61,Round,$308,0.30,Very Good,F,SI2,Feb 21
62,Round,$308,0.30,Very Good,J,SI2,Feb 13
63,Round,$309,0.30,Very Good,I,SI2,Feb 17
64,Round,$309,0.30,Very Good,I,SI2,Feb 17
65,Round,$309,0.30,Very Good,F,SI2,Feb 13
66,Round,$310,0.31,Very Good,J,SI1,Feb 17
67,Round,$310,0.31,Very Good,J,SI2,Feb 10
68,Round,$311,0.30,Very Good,I,SI2,Feb 21
69,Round,$311,0.30,Very Good,G,SI2,Feb 21
