,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Round,$308,0.30,Very Good,I,SI1,May 26
1,Round,$309,0.30,Very Good,I,SI2,May 26
2,Round,$315,0.30,Very Good,H,SI2,May 26
3,Round,$316,0.30,Very Good,I,SI2,May 26
4,Round,$317,0.30,Very Good,J,SI2,May 25
5,Round,$319,0.31,Very Good,J,SI1,May 26
6,Round,$319,0.30,Very Good,I,SI2,May 25
7,Round,$320,0.24,Very Good,J,SI1,May 26
8,Round,$320,0.30,Very Good,I,SI2,May 30
9,Round,$321,0.30,Very Good,J,SI1,May 26
10,Round,$321,0.30,Very Good,I,SI1,May 26
11,Round,$323,0.31,Very Good,I,SI2,May 30
12,Round,$323,0.30,Very Good,J,SI1,May 26
13,Round,$326,0.30,Very Good,J,SI2,May 26
14,Round,$328,0.30,Very Good,I,SI2,May 30
15,Round,$329,0.30,Very Good,J,SI1,May 24
16,Round,$329,0.30,Very Good,J,SI2,May 25
17,Round,$329,0.30,Very Good,I,SI2,May 25
18,Round,$329,0.30,Very Good,I,SI2,May 25
19,Round,$330,0.30,Very Good,J,VS1,May 25
20,Round,$331,0.31,Very Good,J,SI1,May 26
21,Round,$331,0.30,Very Good,H,SI2,May 24
22,Round,$331,0.31,Very Good,H,SI2,May 26
23,Round,$331,0.30,Very Good,J,SI2,May 24
24,Round,$331,0.30,Very Good,J,SI2,May 30
25,Round,$333,0.30,Very Good,J,SI2,May 24
26,Round,$334,0.30,Very Good,I,SI2,May 25
27,Round,$334,0.30,Very Good,I,SI2,May 30
28,Round,$336,0.30,Very Good,J,SI2,May 24
29,Round,$336,0.30,Very Good,J,VS2,May 26
30,Round,$337,0.30,Very Good,J,SI2,May 24
31,Round,$337,0.30,Very Good,H,SI2,May 26
32,Round,$339,0.30,Very Good,J,SI2,Jun 2
33,Round,$339,0.30,Very Good,I,SI1,May 26
34,Round,$339,0.30,Very Good,J,SI2,May 25
35,Round,$340,0.23,Very Good,F,SI2,May 26
