,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Emerald,$324,0.31,Very Good,G,SI2,May 24
1,Emerald,$330,0.31,Very Good,E,SI2,May 24
2,Emerald,$344,0.29,Very Good,J,VS2,May 26
3,Emerald,$350,0.24,Very Good,G,VS2,May 24
4,Emerald,$360,0.34,Very Good,E,SI2,May 24
5,Emerald,$360,0.24,Very Good,G,VS2,May 24
6,Emerald,$360,0.24,Very Good,H,VS2,May 24
7,Emerald,$366,0.31,Very Good,E,SI2,May 24
8,Emerald,$366,0.31,Very Good,E,SI2,May 24
9,Emerald,$367,0.32,Very Good,E,SI2,May 24
10,Emerald,$370,0.30,Very Good,D,SI2,May 24
11,Emerald,$370,0.30,Very Good,F,SI2,May 24
12,Emerald,$375,0.30,Very Good,I,SI1,May 25
13,Emerald,$380,0.31,Very Good,F,SI2,May 24
14,Emerald,$381,0.31,Very Good,J,VS1,May 26
15,Emerald,$384,0.30,Very Good,J,VS1,May 30
16,Emerald,$386,0.31,Very Good,I,VS1,May 30
17,Emerald,$390,0.23,Very Good,E,VS1,May 24
18,Emerald,$391,0.32,Very Good,I,VVS1,May 24
19,Emerald,$393,0.31,Very Good,E,SI2,May 30
20,Emerald,$400,0.26,Very Good,G,VS1,May 24
21,Emerald,$400,0.30,Very Good,F,SI1,May 24
22,Emerald,$400,0.24,Very Good,D,VVS2,May 24
23,Emerald,$408,0.30,Very Good,F,SI2,May 26
24,Emerald,$409,0.35,Very Good,E,SI2,May 24
25,Emerald,$409,0.37,Very Good,G,SI1,May 24
26,Emerald,$409,0.26,Very Good,G,SI1,May 25
27,Emerald,$410,0.30,Very Good,F,SI2,May 19
28,Emerald,$413,0.32,Very Good,J,VVS2,May 26
29,Emerald,$414,0.30,Very Good,F,SI2,May 26
30,Emerald,$420,0.30,Very Good,H,SI1,May 26
31,Emerald,$420,0.36,Very Good,I,VS2,May 24
32,Emerald,$425,0.30,Very Good,F,SI2,May 26
33,Emerald,$427,0.29,Very Good,F,SI1,May 26
34,Emerald,$429,0.31,Very Good,E,SI2,May 30
35,Emerald,$430,0.31,Very Good,H,VS2,May 25
36,Emerald,$430,0.40,Very Good,H,SI2,May 24
37,Emerald,$430,0.32,Very Good,H,VS1,May 24
38,Emerald,$430,0.26,Very Good,F,VVS1,May 24
39,Emerald,$430,0.30,Very Good,F,VS1,May 24
40,Emerald,$430,0.30,Very Good,E,SI1,May 24
41,Emerald,$430,0.26,Very Good,F,VVS1,May 24
42,Emerald,$430,0.30,Very Good,F,VS2,May 24
43,Emerald,$432,0.40,Very Good,H,SI2,May 24
44,Emerald,$439,0.30,Very Good,E,SI1,May 26
45,Emerald,$439,0.30,Very Good,E,SI1,May 26
46,Emerald,$439,0.30,Very Good,D,SI1,May 19
47,Emerald,$440,0.30,Very Good,G,VS2,May 24
48,Emerald,$447,0.33,Very Good,I,VS1,May 25
49,Emerald,$448,0.29,Very Good,E,VS2,May 24
50,Emerald,$450,0.31,Very Good,G,VS1,May 24
51,Emerald,$450,0.32,Very Good,F,VVS2,May 24
52,Emerald,$454,0.31,Very Good,E,SI2,May 26
53,Emerald,$458,0.30,Very Good,I,VVS2,May 19
54,Emerald,$460,0.27,Very Good,F,SI2,May 26
55,Emerald,$460,0.26,Very Good,E,VVS2,May 24
56,Emerald,$460,0.30,Very Good,E,VS2,May 24
57,Emerald,$462,0.40,Very Good,I,SI1,May 24
58,Emerald,$462,0.31,Very Good,I,VS2,May 30
59,Emerald,$463,0.26,Very Good,D,SI1,May 25
