,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Asscher,$437,0.30,Very Good,F,SI1,Apr 24
1,Asscher,$450,0.30,Very Good,D,SI2,Apr 24
2,Asscher,$450,0.30,Very Good,D,SI2,Apr 24
3,Asscher,$450,0.31,Very Good,F,SI1,Apr 24
4,Asscher,$463,0.32,Very Good,F,SI1,Apr 24
5,Asscher,$464,0.31,Very Good,D,SI2,Apr 24
6,Asscher,$470,0.30,Very Good,E,SI1,Apr 24
7,Asscher,$470,0.30,Very Good,E,SI1,Apr 24
8,Asscher,$490,0.30,Very Good,D,SI1,Apr 24
9,Asscher,$494,0.35,Very Good,G,SI1,Apr 24
10,Asscher,$498,0.31,Very Good,H,VS1,Apr 21
11,Asscher,$520,0.30,Very Good,D,SI1,Apr 24
12,Asscher,$525,0.30,Very Good,G,VVS2,Apr 24
13,Asscher,$603,0.30,Very Good,D,VS1,Apr 24
14,Asscher,$672,0.51,Very Good,G,SI2,Apr 24
15,Asscher,$674,0.51,Very Good,E,SI2,Apr 24
16,Asscher,$679,0.33,Very Good,E,VVS2,Apr 24
17,Asscher,$700,0.30,Very Good,E,VVS1,Apr 21
18,Asscher,$702,0.51,Very Good,J,VVS2,Apr 20
19,Asscher,$722,0.41,Very Good,I,VVS2,Apr 24
20,Asscher,$723,0.51,Very Good,H,SI1,Apr 24
21,Asscher,$750,0.40,Very Good,E,SI1,Apr 24
22,Asscher,$757,0.41,Very Good,D,SI1,Apr 24
23,Asscher,$767,0.41,Very Good,E,SI1,Apr 24
24,Asscher,$769,0.41,Very Good,D,SI1,Apr 24
25,Asscher,$780,0.51,Very Good,H,SI1,Apr 24
26,Asscher,$795,0.50,Very Good,E,SI1,Apr 24
27,Asscher,$808,0.44,Very Good,E,SI1,Apr 24
28,Asscher,$810,0.51,Very Good,E,SI1,Apr 24
29,Asscher,$810,0.51,Very Good,E,SI1,Apr 24
30,Asscher,$810,0.50,Very Good,I,VVS2,Apr 24
31,Asscher,$811,0.50,Very Good,E,SI1,Apr 24
32,Asscher,$811,0.50,Very Good,E,SI1,Apr 24
33,Asscher,$811,0.50,Very Good,E,SI1,Apr 24
34,Asscher,$814,0.50,Very Good,F,SI2,Apr 24
35,Asscher,$824,0.52,Very Good,E,SI1,Apr 24
36,Asscher,$826,0.51,Very Good,E,SI1,Apr 24
37,Asscher,$832,0.50,Very Good,J,SI1,Apr 13
38,Asscher,$836,0.41,Very Good,H,VVS1,Apr 21
39,Asscher,$836,0.40,Very Good,F,VS1,Apr 21
40,Asscher,$841,0.52,Very Good,E,SI1,Apr 24
41,Asscher,$841,0.50,Very Good,F,SI1,Apr 24
42,Asscher,$847,0.50,Very Good,F,SI1,Apr 24
43,Asscher,$857,0.51,Very Good,F,SI1,Apr 24
44,Asscher,$867,0.50,Very Good,I,SI1,Apr 13
45,Asscher,$870,0.54,Very Good,I,VS1,Apr 24
46,Asscher,$870,0.40,Very Good,H,VVS1,Apr 24
47,Asscher,$882,0.53,Very Good,H,VVS2,Apr 25
48,Asscher,$885,0.55,Very Good,I,VS2,Apr 24
49,Asscher,$888,0.50,Very Good,I,VS2,Apr 21
50,Asscher,$894,0.50,Very Good,D,SI1,Apr 24
