,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Cushion,$370,0.27,Very Good,F,SI1,Apr 14
1,Cushion,$376,0.40,Very Good,J,SI1,Apr 19
2,Cushion,$400,0.30,Very Good,D,SI1,Apr 14
3,Cushion,$402,0.32,Very Good,J,VVS2,Apr 14
4,Cushion,$430,0.30,Very Good,F,SI1,Apr 14
5,Cushion,$444,0.33,Very Good,J,VS1,Apr 24
6,Cushion,$444,0.32,Very Good,F,SI2,Apr 20
7,Cushion,$447,0.37,Very Good,J,VS1,Apr 24
8,Cushion,$455,0.32,Very Good,J,VVS1,Apr 24
9,Cushion,$459,0.33,Very Good,J,VVS1,Apr 21
10,Cushion,$464,0.50,Very Good,J,SI2,Apr 24
11,Cushion,$465,0.23,Very Good,D,VS2,Apr 17
12,Cushion,$470,0.50,Very Good,J,VS2,Apr 24
13,Cushion,$471,0.34,Very Good,I,VVS2,Apr 24
14,Cushion,$472,0.30,Very Good,F,SI1,Apr 20
15,Cushion,$478,0.33,Very Good,J,VVS2,Apr 24
16,Cushion,$480,0.30,Very Good,F,VVS2,Apr 14
17,Cushion,$483,0.30,Very Good,F,VS2,Apr 21
18,Cushion,$484,0.32,Very Good,F,SI2,Apr 24
19,Cushion,$492,0.31,Very Good,I,VVS2,Apr 24
20,Cushion,$497,0.34,Very Good,F,SI1,Apr 24
21,Cushion,$502,0.39,Very Good,H,VS2,Apr 21
22,Cushion,$507,0.43,Very Good,J,VS2,Apr 14
23,Cushion,$513,0.33,Very Good,F,SI1,Apr 20
24,Cushion,$513,0.40,Very Good,I,VS2,Apr 20
25,Cushion,$514,0.35,Very Good,F,SI1,Apr 24
26,Cushion,$514,0.31,Very Good,F,VS2,Apr 20
27,Cushion,$515,0.50,Very Good,J,SI1,Apr 19
28,Cushion,$520,0.31,Very Good,G,VVS1,Apr 14
29,Cushion,$524,0.50,Very Good,I,SI2,Apr 19
30,Cushion,$525,0.30,Very Good,F,VS1,Apr 20
31,Cushion,$531,0.40,Very Good,G,SI2,Apr 20
32,Cushion,$531,0.31,Very Good,E,VS1,Apr 21
33,Cushion,$532,0.51,Very Good,J,SI1,Apr 20
34,Cushion,$535,0.31,Very Good,E,VS2,Apr 21
35,Cushion,$536,0.46,Very Good,H,SI2,Apr 20
36,Cushion,$537,0.34,Very Good,J,IF,Apr 24
37,Cushion,$543,0.54,Very Good,J,SI1,Apr 18
38,Cushion,$547,0.50,Very Good,J,SI1,Apr 19
39,Cushion,$549,0.40,Very Good,J,VS2,Apr 24
40,Cushion,$549,0.38,Very Good,I,VS1,Apr 17
41,Cushion,$551,0.40,Very Good,J,VS1,Apr 24
42,Cushion,$552,0.51,Very Good,J,SI1,Apr 18
43,Cushion,$553,0.40,Very Good,J,VS1,Apr 21
44,Cushion,$554,0.41,Very Good,J,SI1,Apr 24
45,Cushion,$556,0.49,Very Good,J,SI1,Apr 20
46,Cushion,$556,0.40,Very Good,I,VS2,Apr 20
47,Cushion,$559,0.51,Very Good,I,SI2,Apr 19
48,Cushion,$559,0.30,Very Good,G,VVS2,Apr 24
49,Cushion,$560,0.32,Very Good,D,SI1,Apr 17
50,Cushion,$560,0.52,Very Good,H,SI2,Apr 14
