,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Emerald,$324,0.31,Very Good,G,SI2,Apr 19
1,Emerald,$335,0.27,Very Good,G,VS2,Apr 21
2,Emerald,$340,0.31,Very Good,E,SI2,Apr 14
3,Emerald,$346,0.33,Very Good,E,SI2,Apr 21
4,Emerald,$348,0.30,Very Good,I,SI2,Apr 24
5,Emerald,$351,0.29,Very Good,J,VS2,Apr 21
6,Emerald,$352,0.32,Very Good,F,SI2,Apr 19
7,Emerald,$359,0.37,Very Good,J,VVS1,Apr 24
8,Emerald,$360,0.34,Very Good,E,SI2,Apr 19
9,Emerald,$360,0.24,Very Good,G,VS2,Apr 14
10,Emerald,$366,0.31,Very Good,E,SI2,Apr 19
11,Emerald,$366,0.31,Very Good,E,SI2,Apr 19
12,Emerald,$367,0.32,Very Good,E,SI2,Apr 19
13,Emerald,$370,0.25,Very Good,E,SI1,Apr 14
14,Emerald,$375,0.30,Very Good,I,SI1,Apr 20
15,Emerald,$380,0.30,Very Good,D,SI2,Apr 14
16,Emerald,$380,0.24,Very Good,G,VS2,Apr 14
17,Emerald,$380,0.24,Very Good,H,VS2,Apr 14
18,Emerald,$381,0.31,Very Good,J,VS1,Apr 21
19,Emerald,$385,0.30,Very Good,I,SI1,Apr 24
20,Emerald,$387,0.31,Very Good,J,VS2,Apr 24
21,Emerald,$388,0.30,Very Good,J,VS1,Apr 24
22,Emerald,$390,0.31,Very Good,F,SI2,Apr 14
23,Emerald,$393,0.31,Very Good,E,SI2,Apr 24
24,Emerald,$399,0.32,Very Good,I,VVS1,Apr 19
25,Emerald,$400,0.26,Very Good,E,VS1,Apr 14
26,Emerald,$402,0.27,Very Good,F,VS2,Apr 20
27,Emerald,$408,0.30,Very Good,F,SI2,Apr 21
28,Emerald,$409,0.35,Very Good,E,SI2,Apr 19
29,Emerald,$410,0.23,Very Good,E,VS2,Apr 14
30,Emerald,$410,0.30,Very Good,F,SI1,Apr 14
31,Emerald,$410,0.30,Very Good,F,SI2,Apr 14
32,Emerald,$413,0.33,Very Good,F,SI1,Apr 19
33,Emerald,$419,0.32,Very Good,J,VVS2,Apr 21
34,Emerald,$420,0.30,Very Good,F,SI2,Apr 21
35,Emerald,$420,0.26,Very Good,G,VS1,Apr 14
36,Emerald,$421,0.37,Very Good,G,SI1,Apr 19
37,Emerald,$422,0.30,Very Good,I,VVS2,Apr 24
38,Emerald,$425,0.30,Very Good,H,SI1,Apr 21
39,Emerald,$429,0.31,Very Good,I,VS1,Apr 24
40,Emerald,$430,0.31,Very Good,H,VS2,Apr 21
41,Emerald,$431,0.30,Very Good,F,SI2,Apr 21
42,Emerald,$432,0.40,Very Good,H,SI2,Apr 19
43,Emerald,$432,0.29,Very Good,F,SI1,Apr 21
44,Emerald,$433,0.40,Very Good,G,SI2,Apr 19
45,Emerald,$435,0.31,Very Good,I,VS2,Apr 21
46,Emerald,$442,0.40,Very Good,H,SI2,Apr 19
47,Emerald,$446,0.30,Very Good,I,VS1,Apr 21
48,Emerald,$446,0.30,Very Good,E,SI1,Apr 21
49,Emerald,$446,0.30,Very Good,E,SI1,Apr 21
50,Emerald,$447,0.33,Very Good,I,VS1,Apr 20
51,Emerald,$448,0.29,Very Good,E,VS2,Apr 19
52,Emerald,$454,0.31,Very Good,E,SI2,Apr 21
53,Emerald,$454,0.31,Very Good,I,VS1,Apr 24
54,Emerald,$455,0.30,Very Good,I,VVS2,Apr 21
55,Emerald,$456,0.30,Very Good,I,VVS1,Apr 24
56,Emerald,$460,0.27,Very Good,F,SI2,Apr 21
57,Emerald,$462,0.40,Very Good,I,SI1,Apr 19
58,Emerald,$463,0.26,Very Good,D,SI1,Apr 20
59,Emerald,$469,0.40,Very Good,G,SI2,Apr 19
60,Emerald,$470,0.31,Very Good,G,VS1,Apr 14
61,Emerald,$473,0.40,Very Good,I,SI1,Apr 19
62,Emerald,$478,0.31,Very Good,F,SI1,Apr 14
63,Emerald,$484,0.30,Very Good,F,SI1,Apr 21
64,Emerald,$484,0.30,Very Good,H,VS1,Apr 24
65,Emerald,$487,0.26,Very Good,H,VS2,Apr 20
66,Emerald,$490,0.34,Very Good,E,SI1,Apr 14
67,Emerald,$493,0.31,Very Good,H,IF,Apr 20
68,Emerald,$497,0.30,Very Good,F,SI1,Apr 21
69,Emerald,$498,0.30,Very Good,F,VS2,Apr 21
70,Emerald,$499,0.30,Very Good,H,VS1,Apr 17
71,Emerald,$499,0.30,Very Good,E,SI2,Apr 14
72,Emerald,$499,0.32,Very Good,I,VVS1,Apr 24
73,Emerald,$500,0.31,Very Good,E,SI1,Apr 17
74,Emerald,$500,0.34,Very Good,G,IF,Apr 14
75,Emerald,$500,0.31,Very Good,E,SI1,Apr 14
76,Emerald,$500,0.30,Very Good,F,VVS2,Apr 14
77,Emerald,$500,0.31,Very Good,H,VVS2,Apr 14
78,Emerald,$501,0.40,Very Good,H,SI1,Apr 19
79,Emerald,$504,0.30,Very Good,H,VS2,Apr 24
80,Emerald,$510,0.33,Very Good,G,VVS2,Apr 14
81,Emerald,$510,0.33,Very Good,F,VVS2,Apr 14
82,Emerald,$510,0.35,Very Good,H,VVS1,Apr 24
83,Emerald,$513,0.32,Very Good,I,VVS2,Apr 14
84,Emerald,$514,0.31,Very Good,D,SI1,Apr 17
85,Emerald,$515,0.42,Very Good,J,VS1,Apr 19
86,Emerald,$518,0.40,Very Good,H,SI1,Apr 17
87,Emerald,$519,0.34,Very Good,I,IF,Apr 20
88,Emerald,$520,0.33,Very Good,G,VVS2,Apr 14
89,Emerald,$520,0.31,Very Good,E,VS2,Apr 14
90,Emerald,$520,0.31,Very Good,G,VS1,Apr 14
91,Emerald,$522,0.40,Very Good,I,VS2,Apr 19
92,Emerald,$524,0.30,Very Good,E,VS1,Apr 24
93,Emerald,$525,0.29,Very Good,E,VS1,Apr 24
94,Emerald,$525,0.36,Very Good,D,SI2,Apr 17
95,Emerald,$525,0.41,Very Good,H,SI1,Apr 19
96,Emerald,$526,0.50,Very Good,J,SI2,Apr 19
97,Emerald,$528,0.37,Very Good,E,SI2,Apr 17
98,Emerald,$530,0.36,Very Good,G,IF,Apr 14
99,Emerald,$530,0.32,Very Good,G,VS1,Apr 14
100,Emerald,$530,0.31,Very Good,E,VS2,Apr 14
101,Emerald,$533,0.46,Very Good,I,SI1,Apr 19
102,Emerald,$533,0.36,Very Good,F,SI1,Apr 17
103,Emerald,$535,0.45,Very Good,J,VVS1,Apr 19
104,Emerald,$535,0.40,Very Good,H,SI1,Apr 19
105,Emerald,$536,0.31,Very Good,H,VS1,Apr 20
106,Emerald,$537,0.40,Very Good,H,SI1,Apr 19
107,Emerald,$537,0.37,Very Good,I,VVS1,Apr 19
108,Emerald,$540,0.41,Very Good,G,SI1,Apr 10
109,Emerald,$540,0.33,Very Good,F,IF,Apr 14
110,Emerald,$541,0.32,Very Good,G,VVS1,Apr 20
111,Emerald,$542,0.42,Very Good,H,VS2,Apr 21
112,Emerald,$542,0.30,Very Good,G,VVS1,Apr 24
113,Emerald,$544,0.50,Very Good,I,SI2,Apr 19
114,Emerald,$544,0.50,Very Good,I,SI2,Apr 18
115,Emerald,$544,0.50,Very Good,I,SI2,Apr 18
116,Emerald,$547,0.39,Very Good,F,SI1,Apr 19
117,Emerald,$550,0.33,Very Good,D,SI2,Apr 24
118,Emerald,$551,0.27,Very Good,G,IF,Apr 20
119,Emerald,$551,0.31,Very Good,D,SI1,Apr 24
120,Emerald,$552,0.40,Very Good,D,SI2,Apr 19
121,Emerald,$555,0.40,Very Good,G,SI1,Apr 19
122,Emerald,$560,0.37,Very Good,G,VVS1,Apr 14
123,Emerald,$560,0.34,Very Good,G,VVS1,Apr 14
124,Emerald,$560,0.31,Very Good,G,VVS2,Apr 14
125,Emerald,$561,0.34,Very Good,D,VVS2,Apr 19
126,Emerald,$561,0.30,Very Good,E,VS1,Apr 17
127,Emerald,$561,0.36,Very Good,I,IF,Apr 24
128,Emerald,$565,0.40,Very Good,E,SI1,Apr 24
129,Emerald,$567,0.40,Very Good,I,SI1,Apr 17
130,Emerald,$567,0.29,Very Good,E,VVS1,Apr 20
131,Emerald,$568,0.33,Very Good,H,VS1,Apr 21
132,Emerald,$570,0.51,Very Good,G,SI2,Apr 25
133,Emerald,$572,0.45,Very Good,J,SI1,Apr 24
134,Emerald,$573,0.30,Very Good,D,SI1,Apr 18
135,Emerald,$576,0.41,Very Good,I,VS1,Apr 19
136,Emerald,$576,0.30,Very Good,D,VS1,Apr 14
137,Emerald,$577,0.31,Very Good,D,VS2,Apr 17
138,Emerald,$577,0.32,Very Good,H,VVS1,Apr 21
139,Emerald,$578,0.46,Very Good,J,VVS2,Apr 19
140,Emerald,$578,0.40,Very Good,J,VVS1,Apr 24
141,Emerald,$580,0.40,Very Good,F,SI1,Apr 19
142,Emerald,$580,0.31,Very Good,E,VVS2,Apr 14
143,Emerald,$580,0.36,Very Good,F,VS2,Apr 14
144,Emerald,$582,0.33,Very Good,I,IF,Apr 24
145,Emerald,$584,0.33,Very Good,H,VVS2,Apr 20
146,Emerald,$585,0.30,Very Good,F,VS2,Apr 21
147,Emerald,$585,0.30,Very Good,F,VS2,Apr 21
148,Emerald,$587,0.30,Very Good,D,VS1,Apr 17
149,Emerald,$587,0.31,Very Good,D,VS1,Apr 17
150,Emerald,$587,0.29,Very Good,D,VS1,Apr 17
151,Emerald,$587,0.30,Very Good,G,VVS1,Apr 17
152,Emerald,$588,0.41,Very Good,G,SI1,Apr 19
153,Emerald,$588,0.50,Very Good,G,SI2,Apr 19
154,Emerald,$589,0.40,Very Good,I,VVS1,Apr 20
155,Emerald,$590,0.40,Very Good,G,SI1,Apr 19
156,Emerald,$590,0.38,Very Good,F,VS1,Apr 14
157,Emerald,$591,0.36,Very Good,E,VS2,Apr 19
158,Emerald,$593,0.40,Very Good,G,SI1,Apr 19
159,Emerald,$593,0.40,Very Good,E,SI1,Apr 17
160,Emerald,$593,0.41,Very Good,G,SI1,Apr 19
161,Emerald,$593,0.41,Very Good,F,SI1,Apr 19
162,Emerald,$594,0.31,Very Good,E,VS1,Apr 21
163,Emerald,$595,0.40,Very Good,F,SI1,Apr 19
164,Emerald,$595,0.41,Very Good,I,VS1,Apr 19
165,Emerald,$595,0.40,Very Good,G,SI1,Apr 19
166,Emerald,$595,0.30,Very Good,D,VS2,Apr 21
167,Emerald,$597,0.31,Very Good,E,VS2,Apr 24
168,Emerald,$598,0.40,Very Good,E,SI1,Apr 19
169,Emerald,$598,0.50,Very Good,G,SI2,Apr 19
170,Emerald,$600,0.50,Very Good,J,SI1,Apr 18
171,Emerald,$603,0.40,Very Good,I,VVS1,Apr 19
172,Emerald,$603,0.30,Very Good,G,VVS1,Apr 19
173,Emerald,$603,0.51,Very Good,J,VS1,Apr 20
174,Emerald,$605,0.40,Very Good,G,SI1,Apr 19
175,Emerald,$605,0.31,Very Good,E,VVS2,Apr 17
176,Emerald,$605,0.42,Very Good,J,VS2,Apr 20
177,Emerald,$606,0.41,Very Good,F,SI1,Apr 19
178,Emerald,$606,0.40,Very Good,I,VVS1,Apr 20
179,Emerald,$608,0.50,Very Good,J,SI1,Apr 24
180,Emerald,$608,0.30,Very Good,E,VVS1,Apr 20
181,Emerald,$609,0.40,Very Good,F,SI1,Apr 19
182,Emerald,$610,0.46,Very Good,F,SI1,Apr 20
183,Emerald,$610,0.41,Very Good,E,SI1,Apr 24
184,Emerald,$610,0.36,Very Good,E,IF,Apr 14
185,Emerald,$611,0.43,Very Good,F,SI1,Apr 20
186,Emerald,$612,0.41,Very Good,I,VVS1,Apr 21
187,Emerald,$612,0.40,Very Good,E,SI2,Apr 24
188,Emerald,$614,0.40,Very Good,E,SI2,Apr 17
189,Emerald,$614,0.42,Very Good,F,SI2,Apr 17
190,Emerald,$615,0.43,Very Good,I,VVS2,Apr 19
191,Emerald,$615,0.35,Very Good,G,VS1,Apr 24
192,Emerald,$617,0.40,Very Good,F,SI1,Apr 19
193,Emerald,$619,0.43,Very Good,F,SI1,Apr 19
194,Emerald,$620,0.40,Very Good,E,SI1,Apr 19
195,Emerald,$620,0.40,Very Good,E,SI1,Apr 19
196,Emerald,$620,0.30,Very Good,D,VVS1,Apr 14
197,Emerald,$621,0.62,Very Good,J,SI2,Apr 14
198,Emerald,$621,0.30,Very Good,D,VVS2,Apr 21
199,Emerald,$622,0.42,Very Good,I,VVS1,Apr 20
200,Emerald,$622,0.40,Very Good,I,VS2,Apr 24
201,Emerald,$622,0.40,Very Good,I,VS2,Apr 24
202,Emerald,$624,0.40,Very Good,G,VS2,Apr 24
203,Emerald,$624,0.34,Very Good,G,IF,Apr 24
204,Emerald,$626,0.40,Very Good,E,SI1,Apr 19
205,Emerald,$626,0.50,Very Good,I,SI2,Apr 19
206,Emerald,$626,0.30,Very Good,D,VVS2,Apr 17
207,Emerald,$626,0.30,Very Good,F,VVS2,Apr 14
208,Emerald,$627,0.48,Very Good,J,VS1,Apr 19
209,Emerald,$629,0.30,Very Good,F,VS1,Apr 21
210,Emerald,$629,0.30,Very Good,F,VS1,Apr 21
211,Emerald,$630,0.50,Very Good,H,SI2,Apr 20
212,Emerald,$630,0.31,Very Good,F,IF,Apr 14
213,Emerald,$631,0.30,Very Good,D,VS1,Apr 21
214,Emerald,$631,0.37,Very Good,D,SI1,Apr 17
215,Emerald,$632,0.35,Very Good,E,VS2,Apr 17
216,Emerald,$633,0.41,Very Good,F,SI1,Apr 19
217,Emerald,$633,0.32,Very Good,D,VS1,Apr 17
218,Emerald,$633,0.31,Very Good,D,VS1,Apr 17
219,Emerald,$635,0.51,Very Good,F,SI2,Apr 25
220,Emerald,$635,0.40,Very Good,I,VS1,Apr 20
221,Emerald,$636,0.40,Very Good,D,SI1,Apr 19
222,Emerald,$637,0.37,Very Good,F,VS2,Apr 19
223,Emerald,$638,0.30,Very Good,E,VVS1,Apr 17
224,Emerald,$638,0.47,Very Good,J,VS1,Apr 24
225,Emerald,$639,0.44,Very Good,G,SI1,Apr 19
226,Emerald,$640,0.40,Very Good,E,SI1,Apr 19
227,Emerald,$640,0.50,Very Good,J,SI1,Apr 14
228,Emerald,$640,0.38,Very Good,F,VVS2,Apr 14
229,Emerald,$641,0.41,Very Good,E,SI1,Apr 19
230,Emerald,$641,0.35,Very Good,G,VS1,Apr 17
231,Emerald,$643,0.50,Very Good,I,SI1,Apr 25
232,Emerald,$643,0.50,Very Good,J,VS2,Apr 24
233,Emerald,$644,0.40,Very Good,E,SI1,Apr 24
234,Emerald,$646,0.40,Very Good,I,VS1,Apr 20
235,Emerald,$647,0.30,Very Good,E,VS1,Apr 14
236,Emerald,$647,0.41,Very Good,G,SI1,Apr 19
237,Emerald,$648,0.45,Very Good,J,IF,Apr 19
238,Emerald,$648,0.30,Very Good,E,VVS1,Apr 17
239,Emerald,$650,0.50,Very Good,E,SI2,Apr 14
240,Emerald,$650,0.43,Very Good,G,VVS2,Apr 14
241,Emerald,$650,0.44,Very Good,E,SI2,Apr 14
242,Emerald,$653,0.43,Very Good,E,SI1,Apr 19
243,Emerald,$655,0.32,Very Good,D,VS2,Apr 24
244,Emerald,$656,0.40,Very Good,I,VVS1,Apr 19
245,Emerald,$656,0.40,Very Good,E,SI1,Apr 19
246,Emerald,$656,0.30,Very Good,D,VVS2,Apr 18
247,Emerald,$656,0.30,Very Good,E,VS1,Apr 24
248,Emerald,$657,0.30,Very Good,E,VVS2,Apr 21
249,Emerald,$658,0.31,Very Good,E,VVS1,Apr 17
250,Emerald,$658,0.31,Very Good,E,VVS1,Apr 17
251,Emerald,$658,0.30,Very Good,D,VVS2,Apr 17
252,Emerald,$658,0.38,Very Good,D,SI1,Apr 19
253,Emerald,$658,0.50,Very Good,H,SI1,Apr 19
254,Emerald,$658,0.53,Very Good,J,SI1,Apr 24
255,Emerald,$660,0.50,Very Good,G,SI2,Apr 14
256,Emerald,$660,0.50,Very Good,I,SI1,Apr 14
257,Emerald,$660,0.32,Very Good,E,VVS2,Apr 14
258,Emerald,$660,0.40,Very Good,H,VVS2,Apr 14
259,Emerald,$660,0.37,Very Good,G,VVS2,Apr 14
260,Emerald,$662,0.29,Very Good,F,VS1,Apr 17
261,Emerald,$662,0.50,Very Good,F,SI1,Apr 20
262,Emerald,$663,0.41,Very Good,E,SI1,Apr 19
263,Emerald,$665,0.52,Very Good,J,SI1,Apr 24
264,Emerald,$666,0.30,Very Good,D,VS1,Apr 19
265,Emerald,$667,0.47,Very Good,I,SI1,Apr 17
266,Emerald,$667,0.41,Very Good,I,VVS1,Apr 20
267,Emerald,$668,0.41,Very Good,D,SI1,Apr 19
268,Emerald,$668,0.36,Very Good,F,VS2,Apr 19
269,Emerald,$668,0.30,Very Good,D,VS1,Apr 14
270,Emerald,$668,0.30,Very Good,E,VVS2,Apr 20
271,Emerald,$668,0.30,Very Good,D,VVS2,Apr 20
272,Emerald,$668,0.30,Very Good,E,VVS2,Apr 20
273,Emerald,$668,0.30,Very Good,E,VVS2,Apr 20
274,Emerald,$668,0.30,Very Good,E,VVS2,Apr 20
275,Emerald,$669,0.40,Very Good,G,SI1,Apr 17
276,Emerald,$669,0.40,Very Good,G,SI1,Apr 17
277,Emerald,$670,0.40,Very Good,H,VVS2,Apr 19
278,Emerald,$670,0.42,Very Good,I,VVS1,Apr 19
279,Emerald,$670,0.52,Very Good,F,SI2,Apr 14
280,Emerald,$670,0.33,Very Good,D,VVS1,Apr 14
281,Emerald,$670,0.43,Very Good,D,SI2,Apr 14
282,Emerald,$670,0.51,Very Good,J,VS2,Apr 14
283,Emerald,$671,0.44,Very Good,G,SI1,Apr 19
284,Emerald,$671,0.32,Very Good,F,VS1,Apr 21
285,Emerald,$672,0.42,Very Good,E,SI1,Apr 19
286,Emerald,$672,0.43,Very Good,J,IF,Apr 24
287,Emerald,$672,0.40,Very Good,I,VS1,Apr 24
288,Emerald,$673,0.49,Very Good,J,VVS1,Apr 19
289,Emerald,$674,0.44,Very Good,E,SI1,Apr 19
290,Emerald,$674,0.40,Very Good,G,VS2,Apr 19
291,Emerald,$674,0.51,Very Good,E,SI2,Apr 19
292,Emerald,$675,0.31,Very Good,E,VVS2,Apr 14
293,Emerald,$676,0.40,Very Good,F,VS2,Apr 24
294,Emerald,$677,0.50,Very Good,I,SI1,Apr 21
295,Emerald,$677,0.41,Very Good,F,VS2,Apr 19
296,Emerald,$677,0.30,Very Good,F,VVS1,Apr 14
297,Emerald,$677,0.46,Very Good,J,VVS1,Apr 24
298,Emerald,$678,0.40,Very Good,E,SI1,Apr 19
299,Emerald,$678,0.40,Very Good,I,IF,Apr 21
300,Emerald,$679,0.43,Very Good,I,VS1,Apr 20
301,Emerald,$680,0.30,Very Good,D,VVS2,Apr 17
302,Emerald,$681,0.40,Very Good,J,VS1,Apr 14
303,Emerald,$681,0.45,Very Good,I,VVS2,Apr 19
304,Emerald,$681,0.51,Very Good,E,SI2,Apr 25
305,Emerald,$682,0.40,Very Good,G,VS2,Apr 19
306,Emerald,$682,0.40,Very Good,I,VVS1,Apr 19
307,Emerald,$682,0.40,Very Good,I,VVS1,Apr 24
308,Emerald,$682,0.40,Very Good,J,VS1,Apr 24
309,Emerald,$683,0.40,Very Good,F,VS2,Apr 19
310,Emerald,$683,0.34,Very Good,E,VVS1,Apr 17
311,Emerald,$684,0.40,Very Good,F,SI1,Apr 17
312,Emerald,$684,0.39,Very Good,E,VS2,Apr 21
313,Emerald,$684,0.50,Very Good,G,SI2,Apr 24
314,Emerald,$684,0.50,Very Good,G,SI2,Apr 24
315,Emerald,$685,0.43,Very Good,H,VS1,Apr 19
316,Emerald,$686,0.40,Very Good,F,VS2,Apr 19
317,Emerald,$686,0.41,Very Good,H,VVS2,Apr 19
318,Emerald,$687,0.34,Very Good,H,VS1,Apr 14
319,Emerald,$687,0.32,Very Good,F,VVS1,Apr 20
320,Emerald,$687,0.56,Very Good,J,SI1,Apr 14
321,Emerald,$687,0.42,Very Good,I,SI1,Apr 24
322,Emerald,$688,0.30,Very Good,E,VVS1,Apr 13
323,Emerald,$688,0.43,Very Good,I,VS1,Apr 17
324,Emerald,$688,0.40,Very Good,D,SI1,Apr 19
325,Emerald,$689,0.35,Very Good,G,VS2,Apr 14
326,Emerald,$689,0.40,Very Good,I,VVS1,Apr 24
327,Emerald,$689,0.40,Very Good,D,SI1,Apr 24
328,Emerald,$689,0.30,Very Good,D,VVS1,Apr 19
329,Emerald,$690,0.40,Very Good,G,VS1,Apr 14
330,Emerald,$690,0.41,Very Good,D,SI1,Apr 14
331,Emerald,$690,0.51,Very Good,I,SI1,Apr 24
332,Emerald,$691,0.45,Very Good,F,SI1,Apr 21
333,Emerald,$694,0.40,Very Good,G,VS2,Apr 19
334,Emerald,$694,0.44,Very Good,D,SI1,Apr 17
335,Emerald,$694,0.40,Very Good,H,VVS2,Apr 24
336,Emerald,$694,0.40,Very Good,I,VVS1,Apr 19
337,Emerald,$694,0.40,Very Good,I,VVS1,Apr 24
338,Emerald,$695,0.40,Very Good,F,VS2,Apr 19
339,Emerald,$695,0.40,Very Good,I,VS1,Apr 19
340,Emerald,$695,0.40,Very Good,G,VS2,Apr 17
341,Emerald,$695,0.40,Very Good,I,VVS2,Apr 24
342,Emerald,$695,0.36,Very Good,G,VVS1,Apr 24
343,Emerald,$695,0.36,Very Good,D,VS1,Apr 24
344,Emerald,$696,0.40,Very Good,I,IF,Apr 24
345,Emerald,$697,0.31,Very Good,F,VVS1,Apr 14
346,Emerald,$699,0.30,Very Good,D,VVS2,Apr 19
347,Emerald,$700,0.53,Very Good,F,SI2,Apr 14
348,Emerald,$700,0.40,Very Good,H,VS1,Apr 19
349,Emerald,$700,0.32,Very Good,F,VVS1,Apr 21
350,Emerald,$700,0.53,Very Good,H,SI2,Apr 14
351,Emerald,$701,0.40,Very Good,H,VVS2,Apr 19
352,Emerald,$701,0.42,Very Good,H,VVS2,Apr 19
