,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Heart,$557,0.30,Very Good,E,SI2,Apr 20
1,Heart,$558,0.42,Very Good,G,SI2,Apr 20
2,Heart,$560,0.31,Very Good,E,SI1,Apr 20
3,Heart,$568,0.41,Very Good,E,SI2,Apr 24
4,Heart,$576,0.33,Very Good,H,VVS2,Apr 17
5,Heart,$576,0.34,Very Good,G,VS2,Apr 17
6,Heart,$578,0.40,Very Good,J,VVS1,Apr 24
7,Heart,$580,0.30,Very Good,D,SI2,Apr 20
8,Heart,$585,0.30,Very Good,D,VS2,Apr 17
9,Heart,$587,0.29,Very Good,F,VS2,Apr 17
10,Heart,$590,0.41,Very Good,I,VS1,Apr 24
11,Heart,$609,0.51,Very Good,H,SI2,Apr 19
12,Heart,$609,0.40,Very Good,I,SI1,Apr 20
13,Heart,$621,0.30,Very Good,I,VS1,Apr 20
14,Heart,$626,0.52,Very Good,G,SI2,Apr 19
15,Heart,$626,0.50,Very Good,F,SI2,Apr 19
16,Heart,$627,0.33,Very Good,I,VS2,Apr 20
17,Heart,$628,0.31,Very Good,D,VS2,Apr 17
18,Heart,$633,0.30,Very Good,G,VVS2,Apr 17
19,Heart,$633,0.50,Very Good,F,SI2,Apr 19
20,Heart,$640,0.30,Very Good,I,VS1,Apr 20
21,Heart,$642,0.34,Very Good,E,VS2,Apr 17
22,Heart,$646,0.51,Very Good,J,SI2,Apr 18
23,Heart,$651,0.40,Very Good,I,SI1,Apr 20
24,Heart,$661,0.51,Very Good,F,SI2,Apr 19
25,Heart,$662,0.33,Very Good,I,VS1,Apr 20
26,Heart,$663,0.50,Very Good,F,SI2,Apr 19
27,Heart,$668,0.51,Very Good,I,SI1,Apr 19
28,Heart,$668,0.50,Very Good,H,SI1,Apr 19
29,Heart,$672,0.41,Very Good,G,SI2,Apr 20
30,Heart,$674,0.50,Very Good,H,SI2,Apr 20
31,Heart,$676,0.35,Very Good,D,SI1,Apr 17
32,Heart,$677,0.32,Very Good,G,VVS1,Apr 17
33,Heart,$681,0.51,Very Good,G,SI2,Apr 19
34,Heart,$681,0.40,Very Good,D,SI2,Apr 20
35,Heart,$682,0.50,Very Good,I,SI1,Apr 18
36,Heart,$684,0.50,Very Good,J,SI1,Apr 21
37,Heart,$685,0.36,Very Good,D,SI1,Apr 17
38,Heart,$685,0.36,Very Good,H,VVS1,Apr 24
39,Heart,$687,0.31,Very Good,H,VS1,Apr 20
40,Heart,$688,0.50,Very Good,G,SI1,Apr 19
41,Heart,$688,0.39,Very Good,E,SI1,Apr 17
42,Heart,$692,0.40,Very Good,G,SI1,Apr 20
43,Heart,$695,0.50,Very Good,F,SI2,Apr 19
44,Heart,$696,0.32,Very Good,G,VVS1,Apr 17
45,Heart,$697,0.35,Very Good,G,VS2,Apr 25
46,Heart,$699,0.50,Very Good,I,SI1,Apr 19
47,Heart,$701,0.50,Very Good,H,SI1,Apr 19
48,Heart,$705,0.50,Very Good,I,SI1,Apr 19
49,Heart,$708,0.50,Very Good,H,SI2,Apr 19
50,Heart,$708,0.50,Very Good,I,SI2,Apr 20
51,Heart,$710,0.37,Very Good,D,VS2,Apr 21
52,Heart,$715,0.50,Very Good,I,SI1,Apr 19
53,Heart,$716,0.40,Very Good,D,SI2,Apr 17
54,Heart,$717,0.40,Very Good,H,VS1,Apr 25
55,Heart,$717,0.30,Very Good,D,VS2,Apr 18
56,Heart,$719,0.51,Very Good,G,SI2,Apr 19
57,Heart,$721,0.27,Very Good,F,VS1,Apr 14
58,Heart,$723,0.50,Very Good,H,SI1,Apr 19
59,Heart,$724,0.50,Very Good,G,SI2,Apr 19
60,Heart,$726,0.30,Very Good,E,VVS1,Apr 17
61,Heart,$727,0.46,Very Good,I,SI1,Apr 17
62,Heart,$728,0.50,Very Good,I,SI1,Apr 19
63,Heart,$729,0.37,Very Good,F,VS1,Apr 17
64,Heart,$733,0.30,Very Good,E,VS2,Apr 20
65,Heart,$736,0.35,Very Good,F,VVS2,Apr 17
66,Heart,$739,0.31,Very Good,D,VS2,Apr 18
67,Heart,$740,0.32,Very Good,D,VVS2,Apr 17
68,Heart,$743,0.50,Very Good,J,VS2,Apr 20
69,Heart,$744,0.34,Very Good,E,VS2,Apr 20
70,Heart,$746,0.30,Very Good,E,VVS2,Apr 20
71,Heart,$750,0.42,Very Good,G,VS1,Apr 21
72,Heart,$751,0.33,Very Good,E,VVS1,Apr 17
73,Heart,$753,0.30,Very Good,D,VVS1,Apr 17
74,Heart,$754,0.33,Very Good,D,VS2,Apr 20
75,Heart,$755,0.40,Very Good,I,VS1,Apr 17
76,Heart,$757,0.30,Very Good,G,VS1,Apr 20
77,Heart,$759,0.50,Very Good,H,SI1,Apr 19
78,Heart,$763,0.30,Very Good,D,VVS1,Apr 17
79,Heart,$765,0.31,Very Good,F,VVS1,Apr 20
80,Heart,$766,0.51,Very Good,I,SI2,Apr 18
81,Heart,$766,0.32,Very Good,F,VS1,Apr 20
82,Heart,$767,0.50,Very Good,E,SI1,Apr 24
83,Heart,$769,0.42,Very Good,D,SI2,Apr 17
84,Heart,$769,0.31,Very Good,E,VS1,Apr 20
85,Heart,$770,0.50,Very Good,I,SI1,Apr 19
86,Heart,$772,0.41,Very Good,F,SI1,Apr 17
87,Heart,$776,0.33,Very Good,H,VS1,Apr 20
88,Heart,$777,0.45,Very Good,D,SI2,Apr 24
89,Heart,$780,0.50,Very Good,G,SI1,Apr 19
90,Heart,$785,0.52,Very Good,I,SI1,Apr 19
91,Heart,$785,0.39,Very Good,D,VS2,Apr 17
92,Heart,$785,0.44,Very Good,D,SI1,Apr 24
93,Heart,$786,0.51,Very Good,J,VS1,Apr 19
94,Heart,$787,0.40,Very Good,I,VVS1,Apr 24
95,Heart,$788,0.32,Very Good,D,VVS1,Apr 17
96,Heart,$789,0.50,Very Good,J,VS1,Apr 24
97,Heart,$791,0.50,Very Good,H,SI1,Apr 19
98,Heart,$791,0.46,Very Good,H,SI1,Apr 17
99,Heart,$793,0.43,Very Good,H,VS1,Apr 24
100,Heart,$794,0.50,Very Good,F,SI1,Apr 19
101,Heart,$796,0.50,Very Good,E,SI1,Apr 24
102,Heart,$797,0.42,Very Good,I,VVS2,Apr 25
103,Heart,$798,0.52,Very Good,I,SI1,Apr 19
104,Heart,$800,0.50,Very Good,H,VS2,Apr 19
105,Heart,$800,0.31,Very Good,D,VS1,Apr 18
106,Heart,$800,0.40,Very Good,F,VS2,Apr 25
107,Heart,$802,0.50,Very Good,F,SI1,Apr 19
108,Heart,$802,0.50,Very Good,H,SI1,Apr 19
109,Heart,$802,0.50,Very Good,F,SI1,Apr 19
110,Heart,$802,0.50,Very Good,F,SI1,Apr 19
111,Heart,$802,0.50,Very Good,E,SI2,Apr 20
112,Heart,$804,0.31,Very Good,G,IF,Apr 24
113,Heart,$804,0.43,Very Good,H,VVS2,Apr 24
114,Heart,$806,0.51,Very Good,H,SI1,Apr 19
115,Heart,$806,0.35,Very Good,F,VVS1,Apr 20
116,Heart,$808,0.50,Very Good,I,SI1,Apr 19
117,Heart,$809,0.54,Very Good,F,SI2,Apr 19
118,Heart,$809,0.50,Very Good,G,SI1,Apr 19
119,Heart,$810,0.50,Very Good,J,SI1,Apr 14
120,Heart,$813,0.50,Very Good,H,SI1,Apr 19
121,Heart,$813,0.52,Very Good,H,SI1,Apr 20
122,Heart,$815,0.42,Very Good,E,VS2,Apr 25
123,Heart,$818,0.40,Very Good,F,VS1,Apr 24
124,Heart,$818,0.41,Very Good,H,VVS2,Apr 24
125,Heart,$819,0.32,Very Good,E,VS1,Apr 20
126,Heart,$820,0.50,Very Good,E,SI1,Apr 19
127,Heart,$821,0.30,Very Good,D,VVS2,Apr 19
128,Heart,$825,0.50,Very Good,F,SI1,Apr 24
129,Heart,$827,0.50,Very Good,I,SI1,Apr 18
130,Heart,$828,0.50,Very Good,G,SI1,Apr 19
131,Heart,$828,0.52,Very Good,I,SI1,Apr 19
132,Heart,$829,0.50,Very Good,E,SI2,Apr 24
133,Heart,$830,0.50,Very Good,F,SI1,Apr 19
134,Heart,$832,0.52,Very Good,F,SI1,Apr 19
135,Heart,$832,0.50,Very Good,H,SI2,Apr 17
136,Heart,$832,0.31,Very Good,D,VS1,Apr 20
137,Heart,$836,0.50,Very Good,I,SI2,Apr 14
138,Heart,$836,0.46,Very Good,D,SI2,Apr 17
139,Heart,$836,0.30,Very Good,D,VVS1,Apr 19
140,Heart,$837,0.50,Very Good,I,VS2,Apr 19
