,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Marquise,$380,0.30,Very Good,J,VS1,Apr 24
1,Marquise,$527,0.40,Very Good,E,SI2,Apr 19
2,Marquise,$543,0.31,Very Good,I,VVS1,Apr 17
3,Marquise,$555,0.33,Very Good,G,SI1,Apr 14
4,Marquise,$565,0.39,Very Good,F,SI2,Apr 21
5,Marquise,$609,0.30,Very Good,G,VVS2,Apr 20
6,Marquise,$618,0.23,Very Good,F,SI2,Apr 14
7,Marquise,$633,0.30,Very Good,G,VS2,Apr 17
8,Marquise,$643,0.23,Very Good,F,SI1,Apr 14
9,Marquise,$645,0.30,Very Good,E,VS2,Apr 19
10,Marquise,$647,0.40,Very Good,J,VS1,Apr 20
11,Marquise,$647,0.30,Very Good,D,SI1,Apr 18
12,Marquise,$652,0.25,Very Good,D,SI1,Apr 10
13,Marquise,$653,0.30,Very Good,H,VVS1,Apr 20
14,Marquise,$655,0.30,Very Good,D,VS2,Apr 19
15,Marquise,$658,0.30,Very Good,G,VVS1,Apr 19
16,Marquise,$659,0.30,Very Good,D,SI1,Apr 14
17,Marquise,$659,0.30,Very Good,D,VS2,Apr 19
18,Marquise,$659,0.24,Very Good,E,SI2,Apr 14
19,Marquise,$661,0.23,Very Good,D,SI1,Apr 14
20,Marquise,$663,0.30,Very Good,G,IF,Apr 24
21,Marquise,$664,0.40,Very Good,J,VS1,Apr 17
22,Marquise,$665,0.50,Very Good,J,SI2,Apr 19
23,Marquise,$668,0.25,Very Good,E,IF,Apr 24
24,Marquise,$669,0.41,Very Good,J,VVS2,Apr 17
25,Marquise,$671,0.30,Very Good,E,VS1,Apr 20
26,Marquise,$672,0.24,Very Good,E,VVS1,Apr 24
27,Marquise,$673,0.30,Very Good,D,VS2,Apr 24
28,Marquise,$675,0.31,Very Good,G,VS1,Apr 19
29,Marquise,$676,0.33,Very Good,G,VS2,Apr 19
30,Marquise,$681,0.30,Very Good,F,VS2,Apr 14
31,Marquise,$684,0.30,Very Good,E,VS2,Apr 19
32,Marquise,$684,0.30,Very Good,D,VS2,Apr 19
33,Marquise,$686,0.30,Very Good,E,VS2,Apr 24
34,Marquise,$687,0.31,Very Good,E,VS2,Apr 19
35,Marquise,$689,0.40,Very Good,I,SI1,Apr 14
36,Marquise,$690,0.30,Very Good,D,VS2,Apr 19
37,Marquise,$692,0.30,Very Good,D,VS2,Apr 19
38,Marquise,$692,0.30,Very Good,D,VS2,Apr 19
39,Marquise,$692,0.30,Very Good,E,VS2,Apr 19
40,Marquise,$693,0.30,Very Good,D,VS1,Apr 19
41,Marquise,$693,0.45,Very Good,J,VS2,Apr 24
42,Marquise,$694,0.30,Very Good,D,VS2,Apr 19
43,Marquise,$694,0.30,Very Good,E,VS2,Apr 19
44,Marquise,$695,0.30,Very Good,D,VS1,Apr 19
45,Marquise,$696,0.30,Very Good,D,VS2,Apr 19
46,Marquise,$699,0.30,Very Good,D,SI1,Apr 19
47,Marquise,$705,0.30,Very Good,F,VS1,Apr 24
48,Marquise,$706,0.40,Very Good,G,SI2,Apr 18
49,Marquise,$707,0.30,Very Good,D,VS2,Apr 19
50,Marquise,$707,0.30,Very Good,D,VS1,Apr 19
51,Marquise,$709,0.30,Very Good,F,VVS1,Apr 24
52,Marquise,$709,0.30,Very Good,G,VVS2,Apr 24
53,Marquise,$710,0.30,Very Good,D,SI1,Apr 19
54,Marquise,$711,0.30,Very Good,D,VS1,Apr 19
55,Marquise,$714,0.30,Very Good,D,VS2,Apr 14
56,Marquise,$715,0.31,Very Good,D,SI1,Apr 19
57,Marquise,$715,0.30,Very Good,D,VS2,Apr 19
58,Marquise,$715,0.36,Very Good,E,SI1,Apr 14
59,Marquise,$716,0.30,Very Good,D,VS1,Apr 19
60,Marquise,$718,0.30,Very Good,D,VS1,Apr 19
61,Marquise,$721,0.30,Very Good,D,VS1,Apr 19
62,Marquise,$721,0.30,Very Good,G,VVS2,Apr 19
63,Marquise,$724,0.30,Very Good,E,VS1,Apr 19
64,Marquise,$724,0.40,Very Good,I,VS2,Apr 24
65,Marquise,$728,0.30,Very Good,E,VS1,Apr 19
66,Marquise,$728,0.30,Very Good,E,VS1,Apr 19
67,Marquise,$729,0.30,Very Good,E,VS2,Apr 19
68,Marquise,$730,0.30,Very Good,F,VS1,Apr 19
69,Marquise,$730,0.30,Very Good,D,VS2,Apr 14
70,Marquise,$730,0.30,Very Good,D,VS2,Apr 19
71,Marquise,$731,0.50,Very Good,G,SI2,Apr 19
72,Marquise,$731,0.40,Very Good,E,SI1,Apr 19
73,Marquise,$732,0.30,Very Good,E,VS1,Apr 19
74,Marquise,$737,0.30,Very Good,E,VS1,Apr 19
75,Marquise,$738,0.30,Very Good,D,VS2,Apr 14
76,Marquise,$739,0.38,Very Good,E,VS1,Apr 21
77,Marquise,$739,0.32,Very Good,E,VS2,Apr 19
78,Marquise,$741,0.30,Very Good,H,VVS1,Apr 20
79,Marquise,$743,0.30,Very Good,D,VS1,Apr 19
80,Marquise,$743,0.30,Very Good,E,VS2,Apr 19
81,Marquise,$745,0.30,Very Good,E,VS1,Apr 19
82,Marquise,$745,0.30,Very Good,E,VS2,Apr 19
83,Marquise,$746,0.30,Very Good,D,VS1,Apr 19
84,Marquise,$746,0.30,Very Good,D,VS1,Apr 19
85,Marquise,$746,0.30,Very Good,D,VS2,Apr 14
86,Marquise,$746,0.30,Very Good,D,VS2,Apr 14
87,Marquise,$750,0.30,Very Good,D,VS1,Apr 19
88,Marquise,$750,0.30,Very Good,D,VS1,Apr 19
89,Marquise,$752,0.30,Very Good,D,VS2,Apr 19
90,Marquise,$752,0.30,Very Good,D,VS2,Apr 19
91,Marquise,$752,0.30,Very Good,F,VS1,Apr 19
92,Marquise,$752,0.50,Very Good,J,SI1,Apr 20
93,Marquise,$753,0.30,Very Good,D,VS1,Apr 20
94,Marquise,$755,0.30,Very Good,D,VS1,Apr 19
95,Marquise,$755,0.30,Very Good,D,VS1,Apr 19
96,Marquise,$755,0.30,Very Good,E,VS2,Apr 19
97,Marquise,$757,0.30,Very Good,D,VS1,Apr 19
98,Marquise,$757,0.30,Very Good,D,VS1,Apr 19
99,Marquise,$757,0.30,Very Good,D,VS1,Apr 19
100,Marquise,$758,0.30,Very Good,D,VS2,Apr 19
101,Marquise,$759,0.30,Very Good,F,IF,Apr 21
102,Marquise,$762,0.31,Very Good,E,VS2,Apr 19
103,Marquise,$762,0.30,Very Good,F,VS1,Apr 19
104,Marquise,$762,0.30,Very Good,D,VS2,Apr 19
105,Marquise,$762,0.30,Very Good,D,VS2,Apr 19
106,Marquise,$764,0.30,Very Good,D,VS1,Apr 19
107,Marquise,$764,0.30,Very Good,D,VS1,Apr 19
108,Marquise,$764,0.30,Very Good,D,VS2,Apr 18
109,Marquise,$764,0.30,Very Good,D,VS2,Apr 18
110,Marquise,$764,0.30,Very Good,D,VS2,Apr 18
111,Marquise,$764,0.30,Very Good,E,VS2,Apr 19
112,Marquise,$765,0.30,Very Good,D,VS2,Apr 19
113,Marquise,$765,0.30,Very Good,E,VS1,Apr 19
114,Marquise,$766,0.31,Very Good,E,VS1,Apr 19
115,Marquise,$766,0.30,Very Good,D,VS2,Apr 19
116,Marquise,$767,0.30,Very Good,F,VS1,Apr 19
117,Marquise,$767,0.30,Very Good,E,VS1,Apr 19
118,Marquise,$768,0.30,Very Good,D,VS1,Apr 19
119,Marquise,$768,0.30,Very Good,D,VS1,Apr 19
120,Marquise,$768,0.30,Very Good,D,VS1,Apr 19
121,Marquise,$768,0.30,Very Good,D,VS1,Apr 19
122,Marquise,$770,0.31,Very Good,G,VS1,Apr 19
123,Marquise,$771,0.30,Very Good,D,VS1,Apr 19
124,Marquise,$771,0.31,Very Good,F,VS1,Apr 17
125,Marquise,$771,0.30,Very Good,D,VS1,Apr 19
126,Marquise,$771,0.30,Very Good,D,VS1,Apr 19
127,Marquise,$773,0.30,Very Good,F,VS1,Apr 19
128,Marquise,$773,0.30,Very Good,D,VS1,Apr 19
129,Marquise,$774,0.30,Very Good,E,VS1,Apr 19
130,Marquise,$774,0.30,Very Good,D,VS1,Apr 19
