,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Oval,$394,0.30,Very Good,G,SI1,Apr 19
1,Oval,$395,0.30,Very Good,H,SI1,Apr 24
2,Oval,$402,0.30,Very Good,I,SI1,Apr 19
3,Oval,$408,0.30,Very Good,F,SI2,Apr 19
4,Oval,$410,0.34,Very Good,F,SI2,Apr 14
5,Oval,$413,0.32,Very Good,J,VVS1,Apr 24
6,Oval,$416,0.30,Very Good,E,SI2,Apr 19
7,Oval,$417,0.30,Very Good,J,VVS1,Apr 19
8,Oval,$420,0.33,Very Good,D,SI2,Apr 14
9,Oval,$420,0.40,Very Good,I,SI2,Apr 19
10,Oval,$434,0.31,Very Good,J,VVS1,Apr 19
11,Oval,$436,0.32,Very Good,E,SI2,Apr 14
12,Oval,$442,0.32,Very Good,I,SI1,Apr 19
13,Oval,$444,0.30,Very Good,H,SI1,Apr 19
14,Oval,$449,0.30,Very Good,I,SI1,Apr 20
15,Oval,$451,0.30,Very Good,E,SI2,Apr 14
16,Oval,$457,0.31,Very Good,I,VS2,Apr 19
17,Oval,$460,0.33,Very Good,F,SI1,Apr 14
18,Oval,$460,0.31,Very Good,F,SI2,Apr 14
19,Oval,$470,0.32,Very Good,F,SI1,Apr 24
20,Oval,$479,0.40,Very Good,I,SI1,Apr 19
21,Oval,$480,0.30,Very Good,G,VVS2,Apr 14
22,Oval,$480,0.32,Very Good,G,SI1,Apr 14
23,Oval,$481,0.30,Very Good,I,VVS1,Apr 19
24,Oval,$481,0.30,Very Good,I,VS1,Apr 19
25,Oval,$484,0.30,Very Good,D,SI1,Apr 13
26,Oval,$485,0.31,Very Good,I,VVS1,Apr 24
27,Oval,$487,0.30,Very Good,F,SI1,Apr 19
28,Oval,$488,0.36,Very Good,G,SI1,Apr 24
29,Oval,$489,0.30,Very Good,E,SI2,Apr 20
30,Oval,$490,0.33,Very Good,F,SI1,Apr 14
31,Oval,$497,0.23,Very Good,D,VS1,Apr 21
32,Oval,$498,0.40,Very Good,I,VS1,Apr 20
33,Oval,$500,0.30,Very Good,D,VVS2,Apr 14
34,Oval,$500,0.30,Very Good,E,VS1,Apr 19
35,Oval,$502,0.26,Very Good,D,VS2,Apr 21
36,Oval,$510,0.31,Very Good,E,VS2,Apr 19
37,Oval,$510,0.30,Very Good,E,VS1,Apr 14
38,Oval,$510,0.30,Very Good,F,VVS2,Apr 19
39,Oval,$510,0.30,Very Good,E,SI1,Apr 14
40,Oval,$513,0.33,Very Good,E,SI1,Apr 19
41,Oval,$515,0.35,Very Good,J,VVS1,Apr 17
42,Oval,$516,0.30,Very Good,D,SI2,Apr 17
43,Oval,$520,0.31,Very Good,D,VS1,Apr 14
44,Oval,$520,0.32,Very Good,E,VS1,Apr 14
45,Oval,$520,0.31,Very Good,F,VS1,Apr 19
46,Oval,$520,0.32,Very Good,E,SI1,Apr 14
47,Oval,$522,0.30,Very Good,F,SI1,Apr 19
48,Oval,$522,0.40,Very Good,H,SI2,Apr 20
49,Oval,$527,0.38,Very Good,I,SI1,Apr 19
50,Oval,$530,0.34,Very Good,E,VS1,Apr 19
51,Oval,$530,0.34,Very Good,F,SI1,Apr 14
52,Oval,$532,0.30,Very Good,H,VS2,Apr 19
53,Oval,$533,0.30,Very Good,E,SI1,Apr 19
54,Oval,$534,0.30,Very Good,E,SI1,Apr 18
55,Oval,$535,0.30,Very Good,D,SI1,Apr 24
56,Oval,$536,0.24,Very Good,E,VVS2,Apr 24
57,Oval,$538,0.40,Very Good,E,SI2,Apr 24
58,Oval,$540,0.30,Very Good,F,VS2,Apr 14
59,Oval,$541,0.40,Very Good,J,SI1,Apr 17
60,Oval,$541,0.32,Very Good,I,VVS1,Apr 19
61,Oval,$542,0.31,Very Good,H,VS2,Apr 20
62,Oval,$542,0.30,Very Good,I,VVS1,Apr 24
63,Oval,$545,0.31,Very Good,E,SI1,Apr 19
64,Oval,$545,0.30,Very Good,F,SI1,Apr 19
65,Oval,$545,0.31,Very Good,H,VS1,Apr 14
66,Oval,$545,0.30,Very Good,E,SI2,Apr 20
67,Oval,$547,0.30,Very Good,G,VS2,Apr 19
68,Oval,$548,0.33,Very Good,H,SI1,Apr 24
69,Oval,$550,0.30,Very Good,E,SI1,Apr 19
70,Oval,$550,0.33,Very Good,G,VS2,Apr 14
71,Oval,$551,0.30,Very Good,H,SI1,Apr 17
72,Oval,$552,0.30,Very Good,E,SI1,Apr 19
73,Oval,$553,0.40,Very Good,J,VS1,Apr 21
74,Oval,$555,0.26,Very Good,E,IF,Apr 24
75,Oval,$555,0.30,Very Good,D,SI2,Apr 14
76,Oval,$556,0.30,Very Good,H,VS1,Apr 25
77,Oval,$556,0.31,Very Good,G,VS2,Apr 24
78,Oval,$557,0.30,Very Good,D,SI1,Apr 17
79,Oval,$557,0.32,Very Good,F,SI1,Apr 14
80,Oval,$557,0.31,Very Good,E,VS2,Apr 14
81,Oval,$559,0.30,Very Good,H,VVS2,Apr 19
82,Oval,$560,0.35,Very Good,F,VVS1,Apr 14
83,Oval,$561,0.37,Very Good,E,SI1,Apr 19
84,Oval,$563,0.30,Very Good,G,VS2,Apr 24
85,Oval,$565,0.24,Very Good,D,VVS2,Apr 24
86,Oval,$568,0.50,Very Good,I,SI2,Apr 20
87,Oval,$568,0.38,Very Good,E,SI1,Apr 14
88,Oval,$570,0.31,Very Good,F,VS2,Apr 17
89,Oval,$570,0.37,Very Good,E,SI1,Apr 14
90,Oval,$570,0.30,Very Good,H,VS1,Apr 19
91,Oval,$570,0.40,Very Good,I,VS2,Apr 24
92,Oval,$571,0.28,Very Good,D,VVS1,Apr 21
93,Oval,$571,0.30,Very Good,H,SI1,Apr 19
94,Oval,$571,0.31,Very Good,G,SI1,Apr 19
95,Oval,$572,0.30,Very Good,H,VVS1,Apr 17
96,Oval,$572,0.31,Very Good,H,VS1,Apr 17
97,Oval,$573,0.40,Very Good,I,VVS2,Apr 20
98,Oval,$573,0.30,Very Good,H,VVS2,Apr 20
99,Oval,$574,0.32,Very Good,E,SI1,Apr 17
100,Oval,$574,0.31,Very Good,D,SI1,Apr 14
101,Oval,$578,0.31,Very Good,H,SI1,Apr 19
102,Oval,$580,0.34,Very Good,G,VVS2,Apr 14
103,Oval,$582,0.26,Very Good,F,VS1,Apr 24
104,Oval,$582,0.24,Very Good,E,VVS1,Apr 24
105,Oval,$584,0.50,Very Good,I,SI2,Apr 24
106,Oval,$585,0.30,Very Good,E,VS2,Apr 17
107,Oval,$587,0.50,Very Good,I,SI2,Apr 24
108,Oval,$587,0.30,Very Good,F,SI1,Apr 20
109,Oval,$587,0.24,Very Good,D,VVS1,Apr 24
110,Oval,$587,0.24,Very Good,D,VVS1,Apr 24
111,Oval,$588,0.30,Very Good,G,VS2,Apr 19
112,Oval,$590,0.41,Very Good,I,SI2,Apr 25
113,Oval,$590,0.37,Very Good,F,SI1,Apr 14
114,Oval,$590,0.32,Very Good,E,VS2,Apr 14
115,Oval,$594,0.30,Very Good,H,SI1,Apr 19
116,Oval,$595,0.30,Very Good,G,VS1,Apr 17
117,Oval,$595,0.30,Very Good,E,VS2,Apr 17
118,Oval,$597,0.30,Very Good,D,SI2,Apr 20
119,Oval,$598,0.30,Very Good,E,SI1,Apr 19
120,Oval,$598,0.25,Very Good,D,VVS1,Apr 24
121,Oval,$599,0.32,Very Good,F,VS1,Apr 14
122,Oval,$600,0.37,Very Good,G,VVS1,Apr 14
123,Oval,$600,0.41,Very Good,G,SI1,Apr 14
124,Oval,$600,0.35,Very Good,E,VS1,Apr 14
125,Oval,$600,0.31,Very Good,D,SI2,Apr 19
126,Oval,$600,0.30,Very Good,F,VS1,Apr 14
127,Oval,$601,0.30,Very Good,E,VS2,Apr 19
128,Oval,$603,0.30,Very Good,E,VS2,Apr 17
129,Oval,$603,0.30,Very Good,E,VS1,Apr 14
130,Oval,$604,0.30,Very Good,F,VVS2,Apr 14
131,Oval,$604,0.33,Very Good,F,SI1,Apr 20
132,Oval,$605,0.32,Very Good,G,VS2,Apr 19
133,Oval,$605,0.31,Very Good,F,SI1,Apr 19
134,Oval,$605,0.30,Very Good,D,SI1,Apr 20
135,Oval,$610,0.31,Very Good,F,VS1,Apr 14
136,Oval,$610,0.25,Very Good,D,VVS1,Apr 24
137,Oval,$610,0.25,Very Good,D,VVS1,Apr 24
138,Oval,$610,0.25,Very Good,D,VVS1,Apr 24
139,Oval,$610,0.25,Very Good,D,VVS1,Apr 24
140,Oval,$610,0.31,Very Good,F,VS1,Apr 14
141,Oval,$612,0.30,Very Good,G,VS2,Apr 14
142,Oval,$612,0.40,Very Good,H,SI1,Apr 19
143,Oval,$613,0.30,Very Good,G,VS1,Apr 19
144,Oval,$613,0.32,Very Good,H,VS1,Apr 24
145,Oval,$615,0.30,Very Good,F,VS2,Apr 17
146,Oval,$616,0.35,Very Good,G,SI1,Apr 24
147,Oval,$617,0.40,Very Good,I,VS1,Apr 21
148,Oval,$617,0.41,Very Good,G,SI2,Apr 19
149,Oval,$619,0.40,Very Good,F,SI1,Apr 20
150,Oval,$620,0.36,Very Good,G,VVS2,Apr 14
151,Oval,$620,0.31,Very Good,G,SI1,Apr 19
152,Oval,$621,0.31,Very Good,E,VS2,Apr 17
153,Oval,$621,0.30,Very Good,G,VS2,Apr 19
154,Oval,$621,0.30,Very Good,D,SI1,Apr 20
155,Oval,$622,0.32,Very Good,F,VS2,Apr 17
156,Oval,$623,0.31,Very Good,E,SI1,Apr 17
157,Oval,$623,0.40,Very Good,I,SI2,Apr 20
158,Oval,$624,0.40,Very Good,E,SI1,Apr 24
159,Oval,$625,0.30,Very Good,F,VS1,Apr 17
160,Oval,$626,0.30,Very Good,G,VS1,Apr 14
161,Oval,$628,0.30,Very Good,G,VS2,Apr 17
162,Oval,$630,0.37,Very Good,D,VS2,Apr 14
163,Oval,$630,0.31,Very Good,E,VVS2,Apr 14
164,Oval,$630,0.32,Very Good,F,VS1,Apr 14
165,Oval,$630,0.30,Very Good,D,VS1,Apr 14
166,Oval,$630,0.32,Very Good,G,VVS2,Apr 14
167,Oval,$631,0.25,Very Good,H,VS1,Apr 14
168,Oval,$631,0.29,Very Good,E,SI2,Apr 14
169,Oval,$632,0.30,Very Good,D,SI1,Apr 18
170,Oval,$632,0.26,Very Good,D,VVS1,Apr 24
171,Oval,$633,0.30,Very Good,D,VS2,Apr 17
172,Oval,$633,0.30,Very Good,E,SI1,Apr 19
173,Oval,$633,0.30,Very Good,G,VS1,Apr 19
174,Oval,$634,0.30,Very Good,G,VVS2,Apr 19
175,Oval,$636,0.30,Very Good,E,VS1,Apr 19
176,Oval,$638,0.30,Very Good,E,VVS1,Apr 13
177,Oval,$638,0.30,Very Good,F,VS1,Apr 20
178,Oval,$639,0.30,Very Good,G,VVS2,Apr 17
179,Oval,$639,0.30,Very Good,D,SI1,Apr 17
180,Oval,$640,0.34,Very Good,D,VS1,Apr 14
181,Oval,$640,0.32,Very Good,G,VS1,Apr 19
182,Oval,$640,0.31,Very Good,D,SI1,Apr 20
183,Oval,$641,0.28,Very Good,E,SI1,Apr 14
184,Oval,$641,0.30,Very Good,G,VS2,Apr 20
185,Oval,$643,0.33,Very Good,E,SI1,Apr 20
186,Oval,$645,0.27,Very Good,E,SI2,Apr 14
187,Oval,$647,0.40,Very Good,J,VS1,Apr 17
