,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Pear,$380,0.25,Very Good,E,VVS1,Apr 19
1,Pear,$387,0.33,Very Good,J,VS1,Apr 19
2,Pear,$391,0.29,Very Good,E,SI1,Apr 24
3,Pear,$395,0.33,Very Good,H,SI2,Apr 21
4,Pear,$400,0.23,Very Good,D,VVS2,Apr 14
5,Pear,$408,0.23,Very Good,E,VS2,Apr 21
6,Pear,$410,0.24,Very Good,E,VVS1,Apr 19
7,Pear,$412,0.24,Very Good,F,VS2,Apr 21
8,Pear,$416,0.30,Very Good,I,VS1,Apr 20
9,Pear,$417,0.25,Very Good,E,VS2,Apr 21
10,Pear,$427,0.33,Very Good,I,VS1,Apr 19
11,Pear,$430,0.33,Very Good,G,SI2,Apr 14
12,Pear,$431,0.28,Very Good,E,SI2,Apr 20
13,Pear,$432,0.32,Very Good,D,SI2,Apr 21
14,Pear,$440,0.35,Very Good,I,VVS1,Apr 19
15,Pear,$440,0.31,Very Good,F,SI1,Apr 14
16,Pear,$450,0.25,Very Good,F,VS2,Apr 19
17,Pear,$451,0.29,Very Good,G,SI1,Apr 24
18,Pear,$452,0.28,Very Good,D,SI2,Apr 21
19,Pear,$453,0.23,Very Good,F,VVS2,Apr 21
20,Pear,$459,0.23,Very Good,F,VVS2,Apr 21
21,Pear,$461,0.40,Very Good,G,SI2,Apr 20
22,Pear,$465,0.40,Very Good,I,SI2,Apr 19
23,Pear,$470,0.30,Very Good,E,VVS2,Apr 14
24,Pear,$475,0.30,Very Good,G,SI2,Apr 14
25,Pear,$478,0.35,Very Good,J,VVS2,Apr 19
26,Pear,$480,0.30,Very Good,E,VS1,Apr 19
27,Pear,$480,0.30,Very Good,G,VS1,Apr 14
28,Pear,$480,0.23,Very Good,E,VVS1,Apr 14
29,Pear,$488,0.30,Very Good,H,VS1,Apr 19
30,Pear,$490,0.31,Very Good,G,VVS1,Apr 13
31,Pear,$491,0.30,Very Good,I,SI1,Apr 20
32,Pear,$497,0.30,Very Good,I,VVS2,Apr 24
33,Pear,$500,0.31,Very Good,E,VS1,Apr 19
34,Pear,$505,0.50,Very Good,J,SI2,Apr 14
35,Pear,$507,0.23,Very Good,D,VVS1,Apr 21
36,Pear,$510,0.30,Very Good,G,VVS2,Apr 21
37,Pear,$510,0.30,Very Good,E,VS2,Apr 14
38,Pear,$510,0.31,Very Good,G,VVS1,Apr 14
39,Pear,$512,0.30,Very Good,E,VS1,Apr 21
40,Pear,$512,0.29,Very Good,D,SI1,Apr 24
41,Pear,$513,0.40,Very Good,I,SI1,Apr 19
42,Pear,$516,0.25,Very Good,I,VVS1,Apr 20
43,Pear,$517,0.31,Very Good,E,SI1,Apr 20
44,Pear,$519,0.31,Very Good,F,SI1,Apr 20
45,Pear,$520,0.30,Very Good,E,SI1,Apr 17
46,Pear,$520,0.31,Very Good,F,SI1,Apr 14
47,Pear,$520,0.32,Very Good,F,VVS2,Apr 14
48,Pear,$520,0.32,Very Good,E,VS2,Apr 14
49,Pear,$520,0.32,Very Good,H,VVS1,Apr 14
50,Pear,$521,0.40,Very Good,G,SI2,Apr 19
51,Pear,$522,0.33,Very Good,I,VS1,Apr 19
52,Pear,$527,0.30,Very Good,E,SI1,Apr 24
53,Pear,$530,0.33,Very Good,G,VS1,Apr 14
54,Pear,$530,0.31,Very Good,F,VVS1,Apr 14
55,Pear,$530,0.40,Very Good,J,SI1,Apr 20
56,Pear,$534,0.30,Very Good,H,VVS2,Apr 24
57,Pear,$536,0.31,Very Good,E,VS1,Apr 24
58,Pear,$537,0.40,Very Good,F,SI2,Apr 19
59,Pear,$537,0.24,Very Good,F,SI1,Apr 14
60,Pear,$539,0.36,Very Good,D,SI1,Apr 19
61,Pear,$540,0.30,Very Good,E,IF,Apr 14
62,Pear,$540,0.31,Very Good,E,SI1,Apr 14
63,Pear,$544,0.29,Very Good,D,VS2,Apr 21
64,Pear,$547,0.50,Very Good,J,SI1,Apr 24
65,Pear,$548,0.32,Very Good,D,SI2,Apr 17
66,Pear,$550,0.40,Very Good,J,VS1,Apr 19
67,Pear,$550,0.31,Very Good,E,VVS1,Apr 14
68,Pear,$550,0.40,Very Good,J,VVS2,Apr 14
69,Pear,$553,0.24,Very Good,D,VVS2,Apr 24
70,Pear,$555,0.30,Very Good,E,SI1,Apr 17
71,Pear,$555,0.29,Very Good,E,VS2,Apr 19
72,Pear,$555,0.28,Very Good,D,SI2,Apr 14
73,Pear,$556,0.30,Very Good,E,VS2,Apr 19
74,Pear,$556,0.30,Very Good,E,VS2,Apr 20
75,Pear,$556,0.40,Very Good,I,SI2,Apr 24
76,Pear,$558,0.30,Very Good,H,VVS2,Apr 20
