,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Princess,$320,0.31,Very Good,J,VS1,Apr 14
1,Princess,$346,0.34,Very Good,J,VVS2,Apr 19
2,Princess,$358,0.30,Very Good,G,SI2,Apr 17
3,Princess,$370,0.31,Very Good,I,VS1,Apr 14
4,Princess,$390,0.31,Very Good,I,VVS2,Apr 19
5,Princess,$390,0.34,Very Good,G,VS2,Apr 14
6,Princess,$390,0.31,Very Good,D,SI1,Apr 14
7,Princess,$395,0.33,Very Good,I,VVS2,Apr 19
8,Princess,$399,0.23,Very Good,E,VS2,Apr 17
9,Princess,$399,0.23,Very Good,E,VS1,Apr 17
10,Princess,$403,0.32,Very Good,I,VVS1,Apr 19
11,Princess,$405,0.30,Very Good,E,SI2,Apr 17
12,Princess,$405,0.30,Very Good,E,SI2,Apr 17
13,Princess,$405,0.30,Very Good,E,SI2,Apr 17
14,Princess,$409,0.23,Very Good,E,VS1,Apr 17
15,Princess,$409,0.23,Very Good,F,VS1,Apr 17
16,Princess,$409,0.23,Very Good,E,VS2,Apr 17
17,Princess,$409,0.23,Very Good,E,VS2,Apr 17
18,Princess,$409,0.23,Very Good,E,VS1,Apr 17
19,Princess,$409,0.23,Very Good,F,VS1,Apr 17
20,Princess,$409,0.23,Very Good,E,VS2,Apr 17
21,Princess,$409,0.23,Very Good,E,VS2,Apr 17
22,Princess,$409,0.33,Very Good,I,VVS2,Apr 19
23,Princess,$410,0.30,Very Good,G,SI1,Apr 24
24,Princess,$413,0.23,Very Good,D,VS1,Apr 17
25,Princess,$413,0.23,Very Good,D,VS1,Apr 17
26,Princess,$413,0.23,Very Good,D,VS1,Apr 17
27,Princess,$413,0.23,Very Good,D,VS1,Apr 17
28,Princess,$413,0.33,Very Good,F,SI2,Apr 17
29,Princess,$413,0.23,Very Good,D,VS1,Apr 17
30,Princess,$414,0.31,Very Good,I,VVS1,Apr 19
31,Princess,$415,0.24,Very Good,E,VS2,Apr 17
32,Princess,$415,0.24,Very Good,F,VS2,Apr 17
33,Princess,$418,0.31,Very Good,E,SI2,Apr 17
34,Princess,$418,0.23,Very Good,D,VS2,Apr 17
35,Princess,$418,0.23,Very Good,E,VS1,Apr 17
36,Princess,$418,0.23,Very Good,E,VS1,Apr 17
37,Princess,$418,0.23,Very Good,E,VS1,Apr 17
38,Princess,$418,0.23,Very Good,D,VS2,Apr 17
39,Princess,$418,0.23,Very Good,E,VS1,Apr 17
40,Princess,$418,0.23,Very Good,E,VS1,Apr 17
41,Princess,$418,0.23,Very Good,E,VS1,Apr 17
42,Princess,$418,0.23,Very Good,E,VS1,Apr 17
43,Princess,$418,0.23,Very Good,D,VS2,Apr 17
44,Princess,$418,0.30,Very Good,I,VVS2,Apr 17
45,Princess,$420,0.24,Very Good,D,VS2,Apr 17
46,Princess,$420,0.31,Very Good,F,VS1,Apr 14
47,Princess,$420,0.30,Very Good,F,VS1,Apr 14
48,Princess,$423,0.30,Very Good,I,VS1,Apr 24
49,Princess,$424,0.34,Very Good,I,VVS2,Apr 19
50,Princess,$424,0.34,Very Good,I,VVS2,Apr 19
51,Princess,$425,0.24,Very Good,E,VS2,Apr 17
52,Princess,$425,0.24,Very Good,E,VS2,Apr 17
53,Princess,$425,0.24,Very Good,E,VS2,Apr 17
54,Princess,$425,0.24,Very Good,E,VS2,Apr 17
55,Princess,$425,0.30,Very Good,F,SI1,Apr 17
56,Princess,$425,0.30,Very Good,E,SI1,Apr 21
57,Princess,$426,0.32,Very Good,I,VVS1,Apr 19
58,Princess,$427,0.23,Very Good,F,VVS2,Apr 17
59,Princess,$427,0.23,Very Good,F,VVS2,Apr 17
60,Princess,$427,0.32,Very Good,J,VS2,Apr 20
61,Princess,$428,0.23,Very Good,D,VS1,Apr 17
62,Princess,$428,0.23,Very Good,D,VS1,Apr 17
63,Princess,$430,0.32,Very Good,E,SI2,Apr 17
64,Princess,$430,0.31,Very Good,I,VS1,Apr 17
65,Princess,$430,0.32,Very Good,H,IF,Apr 14
66,Princess,$432,0.23,Very Good,D,VS2,Apr 17
67,Princess,$432,0.30,Very Good,F,SI1,Apr 17
68,Princess,$433,0.24,Very Good,G,IF,Apr 17
69,Princess,$436,0.35,Very Good,I,VVS2,Apr 19
70,Princess,$437,0.41,Very Good,J,SI1,Apr 20
71,Princess,$437,0.33,Very Good,I,VVS2,Apr 19
72,Princess,$438,0.23,Very Good,G,VVS1,Apr 24
73,Princess,$438,0.31,Very Good,F,SI1,Apr 17
74,Princess,$438,0.31,Very Good,F,SI1,Apr 17
75,Princess,$443,0.31,Very Good,I,VS1,Apr 17
76,Princess,$444,0.30,Very Good,E,SI1,Apr 17
77,Princess,$447,0.30,Very Good,H,VVS2,Apr 17
78,Princess,$447,0.30,Very Good,F,VS2,Apr 17
79,Princess,$448,0.23,Very Good,E,VVS2,Apr 17
80,Princess,$450,0.31,Very Good,E,VS2,Apr 14
81,Princess,$451,0.32,Very Good,D,SI2,Apr 17
82,Princess,$451,0.32,Very Good,F,SI1,Apr 17
83,Princess,$451,0.30,Very Good,E,SI1,Apr 17
84,Princess,$451,0.30,Very Good,E,SI1,Apr 17
85,Princess,$451,0.32,Very Good,F,SI1,Apr 17
86,Princess,$451,0.30,Very Good,E,SI1,Apr 17
87,Princess,$452,0.24,Very Good,G,VVS1,Apr 17
88,Princess,$452,0.29,Very Good,D,SI1,Apr 17
89,Princess,$457,0.31,Very Good,E,SI1,Apr 17
90,Princess,$458,0.30,Very Good,E,SI1,Apr 17
91,Princess,$458,0.30,Very Good,E,SI1,Apr 17
92,Princess,$458,0.30,Very Good,E,SI1,Apr 17
93,Princess,$458,0.30,Very Good,E,SI1,Apr 17
94,Princess,$458,0.32,Very Good,F,SI1,Apr 17
95,Princess,$458,0.30,Very Good,E,SI1,Apr 17
96,Princess,$458,0.30,Very Good,E,SI1,Apr 17
97,Princess,$458,0.30,Very Good,E,SI1,Apr 17
98,Princess,$458,0.30,Very Good,E,SI1,Apr 17
99,Princess,$458,0.30,Very Good,E,SI1,Apr 17
100,Princess,$458,0.30,Very Good,E,SI1,Apr 17
101,Princess,$458,0.30,Very Good,E,SI1,Apr 17
102,Princess,$458,0.30,Very Good,E,SI1,Apr 17
103,Princess,$458,0.30,Very Good,E,SI1,Apr 17
104,Princess,$458,0.31,Very Good,G,VVS2,Apr 19
105,Princess,$459,0.23,Very Good,D,VVS2,Apr 17
106,Princess,$460,0.30,Very Good,G,VS1,Apr 24
107,Princess,$460,0.31,Very Good,E,VS1,Apr 14
108,Princess,$460,0.30,Very Good,F,VVS1,Apr 14
109,Princess,$461,0.32,Very Good,E,SI1,Apr 24
110,Princess,$462,0.30,Very Good,F,VS2,Apr 20
111,Princess,$462,0.28,Very Good,D,VS1,Apr 14
112,Princess,$463,0.30,Very Good,F,VS2,Apr 19
113,Princess,$463,0.33,Very Good,H,VVS2,Apr 19
114,Princess,$464,0.30,Very Good,F,SI1,Apr 17
115,Princess,$465,0.31,Very Good,E,SI1,Apr 17
116,Princess,$465,0.34,Very Good,G,VS2,Apr 19
117,Princess,$465,0.31,Very Good,E,SI1,Apr 17
118,Princess,$465,0.31,Very Good,E,SI1,Apr 17
119,Princess,$465,0.31,Very Good,E,SI1,Apr 17
120,Princess,$465,0.31,Very Good,I,VVS2,Apr 14
121,Princess,$467,0.31,Very Good,F,VS1,Apr 17
122,Princess,$468,0.33,Very Good,H,VVS1,Apr 19
123,Princess,$469,0.38,Very Good,J,VVS2,Apr 18
124,Princess,$470,0.30,Very Good,F,VVS2,Apr 21
125,Princess,$470,0.31,Very Good,F,VS1,Apr 14
126,Princess,$471,0.32,Very Good,E,SI1,Apr 17
127,Princess,$471,0.30,Very Good,E,VS2,Apr 17
128,Princess,$471,0.25,Very Good,D,VVS2,Apr 10
129,Princess,$471,0.25,Very Good,D,VVS2,Apr 10
130,Princess,$471,0.30,Very Good,H,VVS1,Apr 17
131,Princess,$472,0.31,Very Good,E,SI1,Apr 17
132,Princess,$472,0.31,Very Good,E,SI1,Apr 17
133,Princess,$472,0.31,Very Good,E,SI1,Apr 17
134,Princess,$472,0.31,Very Good,E,SI1,Apr 17
135,Princess,$472,0.31,Very Good,E,SI1,Apr 17
136,Princess,$472,0.31,Very Good,E,SI1,Apr 17
137,Princess,$474,0.30,Very Good,F,VVS2,Apr 21
138,Princess,$474,0.33,Very Good,H,VVS2,Apr 19
139,Princess,$474,0.30,Very Good,D,SI2,Apr 20
140,Princess,$476,0.30,Very Good,D,SI1,Apr 17
141,Princess,$476,0.30,Very Good,D,SI1,Apr 17
142,Princess,$476,0.30,Very Good,D,SI1,Apr 17
143,Princess,$476,0.30,Very Good,D,SI1,Apr 17
144,Princess,$476,0.30,Very Good,D,SI1,Apr 17
145,Princess,$476,0.34,Very Good,H,VVS2,Apr 19
146,Princess,$476,0.30,Very Good,I,VVS1,Apr 19
147,Princess,$477,0.32,Very Good,E,VVS2,Apr 19
148,Princess,$478,0.32,Very Good,E,SI1,Apr 17
149,Princess,$479,0.31,Very Good,G,VS2,Apr 17
150,Princess,$479,0.31,Very Good,G,VS2,Apr 17
151,Princess,$480,0.30,Very Good,H,VVS2,Apr 19
152,Princess,$480,0.33,Very Good,G,VVS1,Apr 14
153,Princess,$483,0.33,Very Good,H,VVS1,Apr 19
154,Princess,$483,0.40,Very Good,I,SI2,Apr 20
155,Princess,$484,0.30,Very Good,D,SI1,Apr 17
156,Princess,$484,0.30,Very Good,D,SI1,Apr 17
157,Princess,$484,0.27,Very Good,D,VS2,Apr 17
158,Princess,$484,0.27,Very Good,E,VS1,Apr 17
159,Princess,$484,0.30,Very Good,D,SI1,Apr 17
160,Princess,$484,0.30,Very Good,D,SI1,Apr 17
161,Princess,$484,0.27,Very Good,E,VS1,Apr 17
162,Princess,$484,0.31,Very Good,G,VVS2,Apr 19
163,Princess,$485,0.31,Very Good,E,VS2,Apr 17
164,Princess,$486,0.32,Very Good,E,SI1,Apr 17
165,Princess,$486,0.32,Very Good,E,SI1,Apr 17
166,Princess,$486,0.32,Very Good,E,SI1,Apr 17
167,Princess,$486,0.32,Very Good,E,SI1,Apr 17
168,Princess,$486,0.32,Very Good,E,SI1,Apr 17
169,Princess,$486,0.32,Very Good,E,SI1,Apr 17
170,Princess,$486,0.32,Very Good,E,SI1,Apr 17
171,Princess,$486,0.32,Very Good,E,SI1,Apr 17
172,Princess,$486,0.32,Very Good,E,SI1,Apr 17
173,Princess,$490,0.35,Very Good,G,VVS2,Apr 14
174,Princess,$492,0.30,Very Good,F,VS1,Apr 21
175,Princess,$493,0.30,Very Good,H,VS1,Apr 17
176,Princess,$494,0.30,Very Good,E,VS2,Apr 17
177,Princess,$494,0.30,Very Good,E,VS2,Apr 17
178,Princess,$494,0.30,Very Good,E,VS2,Apr 17
179,Princess,$494,0.30,Very Good,E,VS2,Apr 17
180,Princess,$494,0.30,Very Good,G,VS1,Apr 21
181,Princess,$494,0.31,Very Good,E,VS2,Apr 19
182,Princess,$494,0.31,Very Good,G,VS1,Apr 21
183,Princess,$494,0.30,Very Good,G,VS1,Apr 13
184,Princess,$495,0.25,Very Good,D,VVS2,Apr 17
185,Princess,$497,0.30,Very Good,F,VVS1,Apr 17
186,Princess,$497,0.31,Very Good,D,VS1,Apr 24
187,Princess,$498,0.32,Very Good,D,SI1,Apr 17
188,Princess,$498,0.31,Very Good,E,SI1,Apr 14
189,Princess,$498,0.31,Very Good,E,SI1,Apr 14
190,Princess,$499,0.33,Very Good,E,SI1,Apr 17
191,Princess,$499,0.33,Very Good,E,SI1,Apr 17
192,Princess,$499,0.33,Very Good,E,SI1,Apr 17
193,Princess,$499,0.33,Very Good,E,SI1,Apr 17
194,Princess,$499,0.33,Very Good,E,SI1,Apr 17
195,Princess,$499,0.31,Very Good,D,SI1,Apr 17
196,Princess,$499,0.33,Very Good,E,SI1,Apr 17
197,Princess,$499,0.33,Very Good,E,SI1,Apr 17
198,Princess,$499,0.31,Very Good,D,SI1,Apr 17
199,Princess,$499,0.33,Very Good,E,SI1,Apr 17
200,Princess,$499,0.30,Very Good,F,VS2,Apr 17
201,Princess,$499,0.31,Very Good,H,VVS2,Apr 20
202,Princess,$499,0.32,Very Good,G,VS2,Apr 18
203,Princess,$500,0.33,Very Good,H,VVS1,Apr 19
204,Princess,$500,0.31,Very Good,H,VS1,Apr 17
205,Princess,$500,0.30,Very Good,G,VS1,Apr 14
206,Princess,$501,0.30,Very Good,E,VS1,Apr 17
207,Princess,$501,0.30,Very Good,E,VS1,Apr 17
208,Princess,$501,0.30,Very Good,E,VS1,Apr 17
209,Princess,$501,0.30,Very Good,E,VS1,Apr 17
210,Princess,$501,0.30,Very Good,F,VS2,Apr 19
211,Princess,$502,0.30,Very Good,E,VS2,Apr 19
212,Princess,$502,0.31,Very Good,F,VVS1,Apr 19
213,Princess,$502,0.35,Very Good,E,SI2,Apr 20
214,Princess,$504,0.30,Very Good,E,VS2,Apr 19
215,Princess,$504,0.30,Very Good,E,VS1,Apr 19
216,Princess,$507,0.33,Very Good,G,VS2,Apr 19
217,Princess,$507,0.33,Very Good,G,VVS2,Apr 19
218,Princess,$508,0.31,Very Good,F,VS1,Apr 19
219,Princess,$508,0.30,Very Good,E,VS1,Apr 19
220,Princess,$508,0.32,Very Good,H,VS1,Apr 17
221,Princess,$508,0.31,Very Good,I,VVS1,Apr 17
222,Princess,$509,0.31,Very Good,E,VS2,Apr 17
223,Princess,$509,0.31,Very Good,E,VS2,Apr 17
224,Princess,$509,0.31,Very Good,E,VS2,Apr 17
225,Princess,$509,0.41,Very Good,F,SI2,Apr 19
226,Princess,$509,0.31,Very Good,G,VS1,Apr 17
227,Princess,$510,0.31,Very Good,G,VVS2,Apr 17
228,Princess,$510,0.40,Very Good,J,VS1,Apr 20
229,Princess,$510,0.30,Very Good,E,VS1,Apr 19
230,Princess,$510,0.30,Very Good,F,VS1,Apr 19
