,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Radiant,$335,0.30,Very Good,I,VS1,Apr 19
1,Radiant,$340,0.31,Very Good,F,SI2,Apr 19
2,Radiant,$349,0.30,Very Good,I,VVS1,Apr 19
3,Radiant,$350,0.27,Very Good,E,SI1,Apr 14
4,Radiant,$356,0.23,Very Good,H,VS2,Apr 14
5,Radiant,$357,0.34,Very Good,I,VS1,Apr 19
6,Radiant,$360,0.30,Very Good,G,SI2,Apr 14
7,Radiant,$378,0.31,Very Good,E,SI1,Apr 19
8,Radiant,$380,0.30,Very Good,E,SI1,Apr 19
9,Radiant,$386,0.31,Very Good,I,VVS2,Apr 19
10,Radiant,$394,0.34,Very Good,I,VS1,Apr 19
11,Radiant,$394,0.30,Very Good,I,VVS1,Apr 19
12,Radiant,$400,0.23,Very Good,E,VS2,Apr 14
13,Radiant,$414,0.31,Very Good,E,SI1,Apr 19
14,Radiant,$415,0.30,Very Good,H,IF,Apr 24
15,Radiant,$420,0.24,Very Good,E,VS1,Apr 14
16,Radiant,$420,0.30,Very Good,F,SI1,Apr 14
17,Radiant,$420,0.30,Very Good,H,VS1,Apr 14
18,Radiant,$422,0.32,Very Good,H,VVS2,Apr 21
19,Radiant,$422,0.31,Very Good,I,IF,Apr 19
20,Radiant,$430,0.31,Very Good,E,SI1,Apr 14
21,Radiant,$430,0.27,Very Good,F,VS1,Apr 14
22,Radiant,$430,0.31,Very Good,H,VS1,Apr 14
23,Radiant,$440,0.30,Very Good,F,VS2,Apr 14
24,Radiant,$443,0.30,Very Good,I,VVS2,Apr 24
25,Radiant,$445,0.28,Very Good,E,VS2,Apr 14
26,Radiant,$447,0.32,Very Good,H,VVS2,Apr 19
27,Radiant,$449,0.30,Very Good,E,SI1,Apr 24
28,Radiant,$454,0.28,Very Good,E,IF,Apr 14
29,Radiant,$458,0.30,Very Good,G,VS2,Apr 24
30,Radiant,$460,0.27,Very Good,D,VS2,Apr 14
31,Radiant,$460,0.30,Very Good,E,VS2,Apr 14
32,Radiant,$460,0.30,Very Good,G,VS1,Apr 14
33,Radiant,$463,0.30,Very Good,H,VS1,Apr 24
34,Radiant,$467,0.34,Very Good,G,VVS2,Apr 19
35,Radiant,$468,0.33,Very Good,E,SI2,Apr 24
36,Radiant,$470,0.31,Very Good,H,VS1,Apr 24
37,Radiant,$477,0.40,Very Good,J,VVS2,Apr 19
38,Radiant,$483,0.38,Very Good,H,VS1,Apr 21
39,Radiant,$484,0.30,Very Good,H,VVS1,Apr 24
40,Radiant,$490,0.30,Very Good,G,VVS2,Apr 14
41,Radiant,$491,0.33,Very Good,F,VVS2,Apr 19
42,Radiant,$498,0.33,Very Good,F,VVS1,Apr 19
43,Radiant,$499,0.31,Very Good,G,VVS1,Apr 19
44,Radiant,$501,0.33,Very Good,H,VVS2,Apr 24
45,Radiant,$505,0.50,Very Good,J,SI2,Apr 19
46,Radiant,$510,0.30,Very Good,F,VVS1,Apr 24
47,Radiant,$510,0.30,Very Good,G,VVS2,Apr 14
