,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Round,$261,0.30,Very Good,I,SI2,Feb 22
1,Round,$263,0.30,Very Good,J,SI2,Feb 20
2,Round,$266,0.30,Very Good,I,SI2,Feb 22
3,Round,$267,0.30,Very Good,J,SI2,Feb 20
4,Round,$269,0.30,Very Good,J,SI2,Feb 20
5,Round,$270,0.30,Very Good,J,SI1,Feb 20
6,Round,$270,0.31,Very Good,I,SI2,Feb 22
7,Round,$272,0.30,Very Good,J,SI2,Feb 20
8,Round,$272,0.30,Very Good,I,SI2,Feb 20
9,Round,$273,0.30,Very Good,J,SI2,Feb 20
10,Round,$273,0.30,Very Good,J,SI2,Feb 20
11,Round,$274,0.30,Very Good,J,SI2,Feb 20
12,Round,$274,0.30,Very Good,J,SI2,Feb 20
13,Round,$276,0.30,Very Good,J,SI2,Feb 20
14,Round,$276,0.30,Very Good,J,SI2,Feb 20
15,Round,$277,0.30,Very Good,J,SI2,Feb 20
16,Round,$280,0.31,Very Good,J,SI2,Feb 20
17,Round,$280,0.30,Very Good,J,SI2,Feb 14
18,Round,$281,0.30,Very Good,I,SI2,Feb 22
19,Round,$283,0.30,Very Good,J,SI1,Feb 22
20,Round,$285,0.30,Very Good,J,SI2,Feb 22
21,Round,$288,0.30,Very Good,J,SI2,Feb 16
22,Round,$289,0.30,Very Good,J,SI1,Feb 20
23,Round,$289,0.30,Very Good,J,SI2,Feb 20
24,Round,$290,0.30,Very Good,I,SI2,Feb 21
25,Round,$291,0.30,Very Good,I,SI2,Feb 20
26,Round,$291,0.30,Very Good,I,SI2,Feb 20
27,Round,$294,0.30,Very Good,J,SI1,Feb 20
28,Round,$294,0.30,Very Good,I,SI2,Feb 20
29,Round,$295,0.29,Very Good,J,SI2,Feb 22
30,Round,$297,0.30,Very Good,I,SI2,Feb 20
31,Round,$297,0.30,Very Good,I,SI1,Feb 20
32,Round,$297,0.30,Very Good,I,SI2,Feb 20
33,Round,$297,0.30,Very Good,I,SI1,Feb 20
34,Round,$298,0.31,Very Good,I,SI2,Feb 20
35,Round,$299,0.30,Very Good,I,SI2,Feb 20
36,Round,$299,0.31,Very Good,J,SI2,Feb 20
37,Round,$299,0.30,Very Good,I,SI1,Feb 22
38,Round,$299,0.30,Very Good,I,SI1,Feb 22
39,Round,$300,0.30,Very Good,F,SI2,Feb 16
40,Round,$301,0.30,Very Good,I,SI2,Feb 22
41,Round,$301,0.30,Very Good,I,SI2,Feb 22
42,Round,$303,0.30,Very Good,J,SI1,Feb 16
43,Round,$304,0.30,Very Good,I,SI2,Feb 20
44,Round,$304,0.30,Very Good,I,SI2,Feb 20
45,Round,$304,0.29,Very Good,J,SI1,Feb 22
46,Round,$304,0.30,Very Good,F,SI2,Feb 14
47,Round,$305,0.30,Very Good,I,SI2,Feb 20
48,Round,$305,0.30,Very Good,I,SI1,Feb 22
49,Round,$305,0.23,Very Good,J,SI1,Feb 22
50,Round,$305,0.30,Very Good,I,SI1,Feb 22
51,Round,$306,0.30,Very Good,I,SI2,Feb 22
52,Round,$306,0.24,Very Good,I,VS1,Feb 22
53,Round,$306,0.30,Very Good,I,SI2,Feb 22
54,Round,$307,0.31,Very Good,I,SI2,Feb 13
55,Round,$308,0.31,Very Good,J,SI2,Feb 20
56,Round,$308,0.23,Very Good,J,VS1,Feb 22
57,Round,$308,0.30,Very Good,F,SI2,Feb 22
